CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 194.160156 1652109574.0607
MEM 201.636719 1652109574.1611
MEM 205.246094 1652109574.2614
MEM 194.160156 1652109574.3618
MEM 194.160156 1652109574.4621
MEM 205.246094 1652109574.5626
MEM 205.246094 1652109574.6629
MEM 194.160156 1652109574.7632
MEM 201.378906 1652109574.8635
MEM 204.988281 1652109574.9638
MEM 204.988281 1652109575.0641
MEM 194.160156 1652109575.1645
MEM 201.378906 1652109575.2647
MEM 204.988281 1652109575.3650
MEM 194.160156 1652109575.4654
MEM 194.160156 1652109575.5658
MEM 204.988281 1652109575.6664
MEM 204.988281 1652109575.7667
MEM 194.160156 1652109575.8671
MEM 196.996094 1652109575.9673
MEM 205.246094 1652109576.0677
MEM 205.246094 1652109576.1680
MEM 194.160156 1652109576.2682
MEM 201.636719 1652109576.3685
MEM 205.246094 1652109576.4687
MEM 193.386719 1652109576.5690
MEM 194.160156 1652109576.6777
MEM 204.988281 1652109576.7780
MEM 204.988281 1652109576.8782
MEM 194.160156 1652109576.9785
MEM 194.160156 1652109577.0787
MEM 204.988281 1652109577.1790
MEM 204.988281 1652109577.2793
MEM 194.160156 1652109577.3795
MEM 201.378906 1652109577.4798
MEM 204.988281 1652109577.5801
MEM 193.902344 1652109577.6806
MEM 194.160156 1652109577.7809
MEM 201.636719 1652109577.8812
MEM 205.246094 1652109577.9815
MEM 194.160156 1652109578.0819
MEM 194.160156 1652109578.1822
MEM 205.246094 1652109578.2825
MEM 205.246094 1652109578.3828
MEM 194.160156 1652109578.4832
MEM 201.378906 1652109578.5835
MEM 204.988281 1652109578.6838
MEM 190.812500 1652109578.7842
MEM 194.160156 1652109578.8845
MEM 201.378906 1652109578.9848
MEM 204.988281 1652109579.0851
MEM 194.160156 1652109579.1855
MEM 194.160156 1652109579.2858
MEM 204.988281 1652109579.3861
MEM 204.988281 1652109579.4864
MEM 194.160156 1652109579.5868
MEM 201.636719 1652109579.6871
MEM 205.246094 1652109579.7874
MEM 205.246094 1652109579.8877
MEM 194.160156 1652109579.9881
MEM 201.636719 1652109580.0884
MEM 205.246094 1652109580.1887
MEM 194.160156 1652109580.2891
MEM 194.160156 1652109580.3895
MEM 204.988281 1652109580.4899
MEM 204.988281 1652109580.5902
MEM 194.160156 1652109580.6905
MEM 201.378906 1652109580.7908
MEM 204.988281 1652109580.8911
MEM 204.988281 1652109580.9914
MEM 194.160156 1652109581.0918
MEM 201.378906 1652109581.1920
MEM 204.988281 1652109581.2923
MEM 194.160156 1652109581.3927
MEM 194.160156 1652109581.4931
MEM 205.246094 1652109581.5936
MEM 205.246094 1652109581.6940
MEM 194.160156 1652109581.7944
MEM 195.707031 1652109581.8946
MEM 205.246094 1652109581.9950
MEM 205.246094 1652109582.0953
MEM 194.160156 1652109582.1957
MEM 201.378906 1652109582.2960
MEM 204.988281 1652109582.3963
MEM 194.160156 1652109582.4967
MEM 194.160156 1652109582.5971
MEM 201.378906 1652109582.6975
MEM 204.988281 1652109582.7978
MEM 194.160156 1652109582.8982
MEM 194.160156 1652109582.9985
MEM 204.988281 1652109583.0988
MEM 204.988281 1652109583.1992
MEM 194.160156 1652109583.2996
MEM 201.636719 1652109583.3999
MEM 205.246094 1652109583.5002
MEM 194.160156 1652109583.6005
MEM 194.160156 1652109583.7009
MEM 201.636719 1652109583.8012
MEM 205.246094 1652109583.9015
MEM 194.160156 1652109584.0019
MEM 194.160156 1652109584.1022
MEM 204.988281 1652109584.2025
MEM 204.988281 1652109584.3028
MEM 194.160156 1652109584.4032
MEM 201.378906 1652109584.5035
MEM 204.988281 1652109584.6038
MEM 204.988281 1652109584.7041
MEM 194.160156 1652109584.8045
MEM 201.378906 1652109584.9048
MEM 204.988281 1652109585.0051
MEM 194.160156 1652109585.1055
MEM 194.160156 1652109585.2059
MEM 205.246094 1652109585.3062
MEM 205.246094 1652109585.4065
MEM 194.160156 1652109585.5069
MEM 201.636719 1652109585.6072
MEM 205.246094 1652109585.7075
MEM 205.246094 1652109585.8078
MEM 194.160156 1652109585.9083
MEM 201.378906 1652109586.0085
MEM 204.988281 1652109586.1089
MEM 194.160156 1652109586.2093
MEM 194.160156 1652109586.3096
MEM 204.988281 1652109586.4099
MEM 204.988281 1652109586.5102
MEM 194.160156 1652109586.6105
MEM 201.378906 1652109586.7107
MEM 204.988281 1652109586.8110
MEM 194.160156 1652109586.9113
MEM 194.160156 1652109587.0116
MEM 201.636719 1652109587.1118
MEM 205.246094 1652109587.2121
MEM 194.160156 1652109587.3123
MEM 194.160156 1652109587.4126
MEM 205.246094 1652109587.5128
MEM 205.246094 1652109587.6131
MEM 194.160156 1652109587.7133
MEM 201.378906 1652109587.8136
MEM 204.988281 1652109587.9138
MEM 191.839844 1652109588.0141
MEM 194.160156 1652109588.1144
MEM 201.378906 1652109588.2146
MEM 204.988281 1652109588.3149
MEM 194.160156 1652109588.4151
MEM 194.160156 1652109588.5153
MEM 204.988281 1652109588.6156
MEM 204.988281 1652109588.7159
MEM 194.160156 1652109588.8161
MEM 201.636719 1652109588.9164
MEM 205.246094 1652109589.0166
MEM 205.246094 1652109589.1169
MEM 194.160156 1652109589.2171
MEM 201.636719 1652109589.3174
MEM 205.246094 1652109589.4176
MEM 194.160156 1652109589.5179
MEM 194.160156 1652109589.6181
MEM 204.988281 1652109589.7184
MEM 204.988281 1652109589.8186
MEM 194.160156 1652109589.9189
MEM 201.378906 1652109590.0192
MEM 204.988281 1652109590.1194
MEM 204.988281 1652109590.2197
MEM 194.160156 1652109590.3199
MEM 201.378906 1652109590.4202
MEM 204.988281 1652109590.5204
MEM 194.160156 1652109590.6207
MEM 194.160156 1652109590.7210
MEM 205.246094 1652109590.8212
MEM 205.246094 1652109590.9215
MEM 194.160156 1652109591.0218
MEM 201.636719 1652109591.1220
MEM 205.246094 1652109591.2222
MEM 205.246094 1652109591.3225
MEM 194.160156 1652109591.4227
MEM 201.378906 1652109591.5230
MEM 204.988281 1652109591.6233
MEM 194.160156 1652109591.7235
MEM 194.160156 1652109591.8238
MEM 201.378906 1652109591.9240
MEM 204.988281 1652109592.0243
MEM 194.160156 1652109592.1245
MEM 194.160156 1652109592.2248
MEM 204.988281 1652109592.3251
MEM 204.988281 1652109592.4253
MEM 194.160156 1652109592.5256
MEM 201.636719 1652109592.6258
MEM 205.246094 1652109592.7261
MEM 205.246094 1652109592.8263
MEM 194.160156 1652109592.9266
MEM 201.636719 1652109593.0268
MEM 205.246094 1652109593.1271
MEM 194.160156 1652109593.2275
MEM 194.160156 1652109593.3278
MEM 204.988281 1652109593.4281
MEM 204.988281 1652109593.5284
MEM 194.160156 1652109593.6289
MEM 201.378906 1652109593.7291
MEM 204.988281 1652109593.8295
MEM 204.988281 1652109593.9298
MEM 194.160156 1652109594.0301
MEM 201.378906 1652109594.1304
MEM 204.988281 1652109594.2307
MEM 194.160156 1652109594.3311
MEM 194.160156 1652109594.4315
MEM 205.246094 1652109594.5318
MEM 205.246094 1652109594.6321
MEM 194.160156 1652109594.7325
MEM 194.160156 1652109594.8328
MEM 205.246094 1652109594.9332
MEM 205.246094 1652109595.0335
MEM 194.160156 1652109595.1337
MEM 201.378906 1652109595.2340
MEM 204.988281 1652109595.3343
MEM 190.812500 1652109595.4345
MEM 194.160156 1652109595.5348
MEM 201.378906 1652109595.6351
MEM 204.988281 1652109595.7353
MEM 194.160156 1652109595.8356
MEM 194.160156 1652109595.9358
MEM 204.988281 1652109596.0361
MEM 204.988281 1652109596.1363
MEM 194.160156 1652109596.2366
MEM 201.636719 1652109596.3368
MEM 205.246094 1652109596.4371
MEM 205.246094 1652109596.5373
MEM 194.160156 1652109596.6376
MEM 201.636719 1652109596.7378
MEM 205.246094 1652109596.8381
MEM 194.160156 1652109596.9384
MEM 194.160156 1652109597.0386
MEM 204.988281 1652109597.1389
MEM 204.988281 1652109597.2392
MEM 194.160156 1652109597.3394
MEM 194.160156 1652109597.4397
MEM 204.988281 1652109597.5399
MEM 204.988281 1652109597.6402
MEM 194.160156 1652109597.7404
MEM 201.378906 1652109597.8407
MEM 204.988281 1652109597.9409
MEM 190.812500 1652109598.0412
MEM 194.160156 1652109598.1415
MEM 201.636719 1652109598.2417
MEM 205.246094 1652109598.3419
MEM 194.160156 1652109598.4422
MEM 194.160156 1652109598.5424
MEM 205.246094 1652109598.6427
MEM 205.246094 1652109598.7430
MEM 194.160156 1652109598.8432
MEM 201.378906 1652109598.9435
MEM 204.988281 1652109599.0437
MEM 204.988281 1652109599.1440
MEM 194.160156 1652109599.2443
MEM 201.378906 1652109599.3445
MEM 204.988281 1652109599.4448
MEM 194.160156 1652109599.5450
MEM 194.160156 1652109599.6453
MEM 204.988281 1652109599.7456
MEM 204.988281 1652109599.8458
MEM 194.160156 1652109599.9461
MEM 194.160156 1652109600.0463
MEM 205.246094 1652109600.1466
MEM 205.246094 1652109600.2468
MEM 194.160156 1652109600.3471
MEM 201.636719 1652109600.4473
MEM 205.246094 1652109600.5476
MEM 205.246094 1652109600.6478
MEM 194.160156 1652109600.7481
MEM 201.378906 1652109600.8483
MEM 204.988281 1652109600.9486
MEM 194.160156 1652109601.0488
MEM 194.160156 1652109601.1491
MEM 201.378906 1652109601.2493
MEM 204.988281 1652109601.3496
MEM 194.160156 1652109601.4499
MEM 194.160156 1652109601.5501
MEM 204.988281 1652109601.6504
MEM 204.988281 1652109601.7506
MEM 194.160156 1652109601.8509
MEM 201.636719 1652109601.9511
MEM 205.246094 1652109602.0514
