CMDLINE /usr/bin/python3 scripts/PCA-SVM-Malaria.py
MEM 385.050781 1652244667.3160
MEM 385.050781 1652244667.4164
MEM 385.050781 1652244667.5173
MEM 385.050781 1652244667.6176
MEM 385.992188 1652244667.7180
MEM 385.992188 1652244667.8192
MEM 391.015625 1652244667.9196
MEM 391.015625 1652244668.0200
MEM 391.015625 1652244668.1246
MEM 391.015625 1652244668.2250
MEM 391.015625 1652244668.3254
MEM 391.015625 1652244668.4257
MEM 391.015625 1652244668.5261
MEM 391.015625 1652244668.6381
MEM 391.015625 1652244668.7384
MEM 391.015625 1652244668.8388
MEM 391.015625 1652244668.9391
MEM 391.015625 1652244669.0394
MEM 391.015625 1652244669.1397
MEM 391.015625 1652244669.2401
MEM 391.015625 1652244669.3405
MEM 391.015625 1652244669.4532
MEM 391.015625 1652244669.5535
MEM 391.015625 1652244669.6538
MEM 391.015625 1652244669.7541
MEM 391.015625 1652244669.8546
MEM 391.015625 1652244669.9549
MEM 391.015625 1652244670.0552
MEM 391.015625 1652244670.1556
MEM 391.015625 1652244670.2912
MEM 391.015625 1652244670.3935
MEM 391.015625 1652244670.4940
MEM 391.015625 1652244670.5944
MEM 391.015625 1652244670.6947
MEM 391.015625 1652244670.7951
MEM 391.015625 1652244670.8955
MEM 391.015625 1652244670.9959
MEM 391.015625 1652244671.0964
MEM 391.015625 1652244671.1969
MEM 391.015625 1652244671.2972
MEM 391.015625 1652244671.3977
MEM 391.015625 1652244671.4981
MEM 391.015625 1652244671.6015
MEM 391.015625 1652244671.7018
MEM 391.015625 1652244671.8023
MEM 391.015625 1652244671.9041
MEM 391.015625 1652244672.0044
MEM 391.015625 1652244672.1048
MEM 400.070312 1652244672.2053
MEM 403.488281 1652244672.3056
MEM 406.511719 1652244672.4060
MEM 406.511719 1652244672.5064
MEM 406.511719 1652244672.6068
MEM 406.511719 1652244672.7071
MEM 406.511719 1652244672.8075
MEM 406.511719 1652244672.9079
MEM 406.511719 1652244673.0082
MEM 406.511719 1652244673.1086
MEM 406.511719 1652244673.2089
MEM 406.511719 1652244673.3092
MEM 406.511719 1652244673.4096
MEM 406.511719 1652244673.5099
MEM 406.511719 1652244673.6103
MEM 406.511719 1652244673.7106
MEM 406.511719 1652244673.8110
MEM 406.511719 1652244673.9114
MEM 406.511719 1652244674.0118
MEM 406.511719 1652244674.1121
MEM 406.511719 1652244674.2125
MEM 406.511719 1652244674.3128
MEM 406.511719 1652244674.4132
MEM 406.511719 1652244674.5135
MEM 406.511719 1652244674.6139
MEM 406.511719 1652244674.7143
