CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 237.925781 1652252365.0464
MEM 258.808594 1652252365.1476
MEM 260.082031 1652252365.2480
MEM 269.871094 1652252365.3520
MEM 269.871094 1652252365.4524
MEM 269.871094 1652252365.5527
MEM 240.503906 1652252365.6531
MEM 260.082031 1652252365.7535
MEM 269.613281 1652252365.8539
MEM 269.613281 1652252365.9543
MEM 269.613281 1652252366.0546
MEM 240.503906 1652252366.1559
MEM 260.082031 1652252366.2563
MEM 269.613281 1652252366.3567
MEM 269.613281 1652252366.4572
MEM 269.613281 1652252366.5575
MEM 240.503906 1652252366.6579
MEM 260.082031 1652252366.7583
MEM 268.855469 1652252366.8588
MEM 269.613281 1652252366.9592
MEM 269.613281 1652252367.0596
MEM 240.503906 1652252367.1600
MEM 260.082031 1652252367.2603
MEM 269.613281 1652252367.3608
MEM 269.613281 1652252367.4632
MEM 240.503906 1652252367.5635
MEM 240.503906 1652252367.6639
MEM 260.082031 1652252367.7642
MEM 269.871094 1652252367.8646
MEM 269.871094 1652252367.9650
MEM 269.871094 1652252368.0654
MEM 240.503906 1652252368.1657
MEM 260.082031 1652252368.2661
MEM 260.082031 1652252368.3665
MEM 269.613281 1652252368.4668
MEM 269.613281 1652252368.5672
MEM 240.503906 1652252368.6675
MEM 260.082031 1652252368.7679
MEM 260.082031 1652252368.8682
MEM 269.613281 1652252368.9686
MEM 269.613281 1652252369.0690
MEM 240.503906 1652252369.1693
MEM 240.503906 1652252369.2696
MEM 260.082031 1652252369.3699
MEM 269.613281 1652252369.4703
MEM 269.613281 1652252369.5707
MEM 240.503906 1652252369.6711
MEM 260.082031 1652252369.7715
MEM 269.613281 1652252369.8719
MEM 269.613281 1652252369.9723
MEM 236.914062 1652252370.0727
MEM 240.503906 1652252370.1730
MEM 260.082031 1652252370.2733
MEM 269.871094 1652252370.3737
MEM 269.871094 1652252370.4740
MEM 240.503906 1652252370.5743
MEM 260.082031 1652252370.6747
MEM 269.613281 1652252370.7751
MEM 269.613281 1652252370.8754
MEM 240.503906 1652252370.9757
MEM 240.503906 1652252371.0761
MEM 260.082031 1652252371.1765
MEM 269.613281 1652252371.2768
MEM 269.613281 1652252371.3771
MEM 240.503906 1652252371.4775
MEM 240.503906 1652252371.5779
MEM 260.082031 1652252371.6782
MEM 269.613281 1652252371.7786
MEM 269.613281 1652252371.8788
