CMDLINE /usr/bin/python3 scripts/AE-RF-Malaria.py
MEM 2716.082031 1652242485.1315
MEM 2716.082031 1652242485.2318
MEM 2716.082031 1652242485.3322
MEM 2716.082031 1652242485.4326
MEM 2716.082031 1652242485.5330
MEM 2716.335938 1652242485.6333
MEM 2716.335938 1652242485.7338
MEM 2716.593750 1652242485.8342
MEM 2716.593750 1652242485.9345
MEM 2723.691406 1652242486.0350
MEM 2723.929688 1652242486.1354
MEM 2723.929688 1652242486.2357
MEM 2723.929688 1652242486.3361
MEM 2723.929688 1652242486.4365
MEM 2723.929688 1652242486.5368
MEM 2723.929688 1652242486.6372
MEM 2724.183594 1652242486.7376
MEM 2725.253906 1652242486.8380
MEM 2725.242188 1652242486.9384
MEM 2728.593750 1652242487.0388
MEM 2728.574219 1652242487.1432
MEM 2729.074219 1652242487.2437
MEM 2740.921875 1652242487.3441
MEM 2747.980469 1652242487.4445
MEM 2759.832031 1652242487.5449
MEM 2762.906250 1652242487.6453
MEM 2762.890625 1652242487.7457
MEM 2763.917969 1652242487.8462
MEM 2763.902344 1652242487.9466
MEM 2763.902344 1652242488.0470
MEM 2763.968750 1652242488.1474
MEM 2764.253906 1652242488.2478
MEM 2764.253906 1652242488.3481
MEM 2764.253906 1652242488.4485
MEM 2764.253906 1652242488.5489
MEM 2764.253906 1652242488.6492
MEM 2802.359375 1652242488.7497
MEM 2802.359375 1652242488.8500
MEM 2802.496094 1652242488.9504
MEM 2802.496094 1652242489.0507
MEM 2818.218750 1652242489.1511
MEM 2818.218750 1652242489.2515
MEM 2818.476562 1652242489.3519
MEM 2818.734375 1652242489.4523
MEM 2818.992188 1652242489.5526
MEM 2819.023438 1652242489.6531
MEM 2822.628906 1652242489.7535
MEM 2822.628906 1652242489.8539
MEM 2822.882812 1652242489.9543
MEM 2822.882812 1652242490.0546
MEM 2822.882812 1652242490.1550
MEM 2822.882812 1652242490.2554
MEM 2822.882812 1652242490.3558
MEM 2823.140625 1652242490.4562
MEM 2823.015625 1652242490.5566
MEM 2823.781250 1652242490.6570
MEM 2826.082031 1652242490.7575
MEM 2826.851562 1652242490.8580
MEM 2836.632812 1652242490.9584
MEM 2843.542969 1652242491.0588
MEM 2843.542969 1652242491.1593
MEM 2851.511719 1652242491.2598
MEM 2854.589844 1652242491.3602
MEM 2857.421875 1652242491.4606
MEM 2858.695312 1652242491.5610
MEM 2858.695312 1652242491.6615
MEM 2858.675781 1652242491.7618
MEM 2858.664062 1652242491.8649
MEM 2860.742188 1652242491.9654
MEM 2860.742188 1652242492.0658
MEM 2860.996094 1652242492.1661
MEM 2860.996094 1652242492.2665
MEM 2861.253906 1652242492.3669
MEM 2861.019531 1652242492.4674
MEM 2861.015625 1652242492.5678
MEM 2861.363281 1652242492.6682
MEM 2861.363281 1652242492.7687
MEM 2861.363281 1652242492.8690
MEM 2861.363281 1652242492.9694
MEM 2861.617188 1652242493.0699
MEM 2861.617188 1652242493.1704
MEM 2862.386719 1652242493.2708
MEM 2863.199219 1652242493.3712
MEM 2863.199219 1652242493.4716
MEM 2863.199219 1652242493.5719
MEM 2863.199219 1652242493.6722
MEM 2863.199219 1652242493.7726
MEM 2864.226562 1652242493.8730
MEM 2864.226562 1652242493.9733
MEM 2864.226562 1652242494.0736
MEM 2864.226562 1652242494.1739
MEM 2864.226562 1652242494.2742
MEM 2864.226562 1652242494.3745
MEM 2864.226562 1652242494.4748
MEM 2864.480469 1652242494.5751
MEM 2864.480469 1652242494.6755
MEM 2869.410156 1652242494.7760
MEM 2869.394531 1652242494.8764
MEM 2870.152344 1652242494.9768
MEM 2870.144531 1652242495.0772
MEM 2870.136719 1652242495.1786
MEM 2872.628906 1652242495.2796
MEM 2874.406250 1652242495.3800
MEM 2876.718750 1652242495.4804
MEM 2877.152344 1652242495.5808
MEM 2877.136719 1652242495.6813
MEM 2877.121094 1652242495.7834
MEM 2877.121094 1652242495.8838
MEM 2877.062500 1652242495.9842
MEM 2877.062500 1652242496.0845
MEM 2877.062500 1652242496.1849
MEM 2877.062500 1652242496.2852
MEM 2877.062500 1652242496.3856
MEM 2877.062500 1652242496.4860
MEM 2877.042969 1652242496.5864
MEM 2877.042969 1652242496.6867
MEM 2877.042969 1652242496.7871
MEM 2877.042969 1652242496.8875
MEM 2877.042969 1652242496.9878
MEM 2877.042969 1652242497.0882
MEM 2877.042969 1652242497.1886
MEM 2877.042969 1652242497.2889
MEM 2877.042969 1652242497.3893
MEM 2877.042969 1652242497.4896
MEM 2893.273438 1652242497.5900
MEM 2894.562500 1652242497.6904
MEM 2894.562500 1652242497.7907
MEM 2894.562500 1652242497.8911
MEM 2894.562500 1652242497.9915
MEM 2894.562500 1652242498.0918
MEM 2894.562500 1652242498.1921
MEM 2895.074219 1652242498.2925
MEM 2895.074219 1652242498.3929
MEM 2894.839844 1652242498.4933
MEM 2897.167969 1652242498.5936
MEM 2906.421875 1652242498.6940
MEM 2910.007812 1652242498.7946
MEM 2915.148438 1652242498.8951
MEM 2915.148438 1652242498.9955
MEM 2917.453125 1652242499.0959
MEM 2920.750000 1652242499.1963
MEM 2925.167969 1652242499.2967
MEM 2926.457031 1652242499.3971
MEM 2926.437500 1652242499.4974
MEM 2926.421875 1652242499.5978
MEM 2926.421875 1652242499.6982
MEM 2926.632812 1652242499.7986
MEM 2926.632812 1652242499.8989
MEM 2926.632812 1652242499.9992
MEM 2926.632812 1652242500.0995
MEM 2926.632812 1652242500.1998
MEM 2926.613281 1652242500.3002
MEM 2926.613281 1652242500.4006
MEM 2926.613281 1652242500.5009
MEM 2926.613281 1652242500.6012
MEM 2926.613281 1652242500.7015
MEM 2926.613281 1652242500.8019
MEM 2926.613281 1652242500.9023
MEM 2926.613281 1652242501.0026
MEM 2926.613281 1652242501.1030
MEM 2926.613281 1652242501.2033
MEM 2929.949219 1652242501.3037
MEM 2929.949219 1652242501.4041
MEM 2929.949219 1652242501.5044
MEM 2929.949219 1652242501.6048
MEM 2929.949219 1652242501.7052
MEM 2929.949219 1652242501.8055
MEM 2929.949219 1652242501.9059
MEM 2930.460938 1652242502.0063
