CMDLINE /usr/bin/python3 scripts/PCA-RF-TARA.py
MEM 214.933594 1652255057.5825
MEM 214.933594 1652255057.6827
MEM 214.933594 1652255057.7830
MEM 214.933594 1652255057.8833
MEM 214.933594 1652255057.9856
MEM 214.933594 1652255058.0862
MEM 214.933594 1652255058.1865
MEM 214.933594 1652255058.2868
MEM 214.933594 1652255058.3891
MEM 214.933594 1652255058.4894
MEM 214.933594 1652255058.5898
MEM 214.933594 1652255058.6901
MEM 214.933594 1652255058.7905
MEM 214.933594 1652255058.8909
MEM 214.933594 1652255058.9911
MEM 214.933594 1652255059.0931
MEM 214.933594 1652255059.1934
MEM 214.933594 1652255059.2937
MEM 214.933594 1652255059.3940
MEM 214.933594 1652255059.4944
MEM 214.933594 1652255059.5947
MEM 214.933594 1652255059.6950
MEM 214.933594 1652255059.7953
MEM 214.933594 1652255059.8957
MEM 214.933594 1652255059.9960
MEM 214.933594 1652255060.0964
MEM 214.933594 1652255060.1967
MEM 214.933594 1652255060.2970
MEM 214.933594 1652255060.3973
MEM 214.933594 1652255060.4976
MEM 214.933594 1652255060.5979
MEM 214.933594 1652255060.6982
MEM 214.933594 1652255060.7986
MEM 214.933594 1652255060.8989
MEM 214.933594 1652255060.9992
MEM 214.933594 1652255061.0995
MEM 214.933594 1652255061.2007
MEM 214.933594 1652255061.3011
MEM 214.933594 1652255061.4014
MEM 214.933594 1652255061.5017
MEM 214.933594 1652255061.6020
MEM 214.933594 1652255061.7024
MEM 214.933594 1652255061.8027
MEM 214.933594 1652255061.9031
MEM 214.933594 1652255062.0034
MEM 214.933594 1652255062.1037
MEM 214.933594 1652255062.2041
MEM 214.933594 1652255062.3045
MEM 214.933594 1652255062.4048
MEM 214.933594 1652255062.5051
MEM 214.933594 1652255062.6054
MEM 214.933594 1652255062.7057
MEM 214.933594 1652255062.8061
MEM 214.933594 1652255062.9064
MEM 214.933594 1652255063.0067
MEM 214.933594 1652255063.1071
MEM 214.933594 1652255063.2074
MEM 214.933594 1652255063.3077
MEM 214.933594 1652255063.4081
MEM 214.933594 1652255063.5084
MEM 214.933594 1652255063.6087
MEM 214.933594 1652255063.7091
MEM 214.933594 1652255063.8094
MEM 214.933594 1652255063.9098
MEM 214.933594 1652255064.0101
MEM 214.933594 1652255064.1104
MEM 214.933594 1652255064.2107
MEM 214.933594 1652255064.3111
MEM 214.933594 1652255064.4114
MEM 214.933594 1652255064.5139
MEM 214.933594 1652255064.6142
MEM 214.933594 1652255064.7146
MEM 214.933594 1652255064.8156
MEM 214.933594 1652255064.9158
MEM 214.933594 1652255065.0161
MEM 214.933594 1652255065.1184
MEM 214.933594 1652255065.2187
MEM 214.933594 1652255065.3190
MEM 214.933594 1652255065.4194
MEM 214.933594 1652255065.5196
MEM 214.933594 1652255065.6199
MEM 214.933594 1652255065.7202
MEM 214.933594 1652255065.8205
MEM 214.933594 1652255065.9208
MEM 214.933594 1652255066.0211
MEM 214.933594 1652255066.1214
MEM 214.933594 1652255066.2216
MEM 214.933594 1652255066.3219
MEM 214.933594 1652255066.4222
MEM 214.933594 1652255066.5225
MEM 214.933594 1652255066.6228
MEM 214.933594 1652255066.7230
MEM 214.933594 1652255066.8233
MEM 214.933594 1652255066.9237
MEM 214.933594 1652255067.0240
MEM 214.933594 1652255067.1243
MEM 214.933594 1652255067.2246
MEM 214.933594 1652255067.3249
MEM 214.933594 1652255067.4252
MEM 214.933594 1652255067.5256
MEM 214.933594 1652255067.6259
MEM 214.933594 1652255067.7261
MEM 214.933594 1652255067.8265
MEM 214.933594 1652255067.9268
MEM 214.933594 1652255068.0272
MEM 214.933594 1652255068.1275
MEM 214.933594 1652255068.2278
MEM 214.933594 1652255068.3281
MEM 214.933594 1652255068.4285
MEM 214.933594 1652255068.5288
MEM 214.933594 1652255068.6292
MEM 214.933594 1652255068.7294
MEM 214.933594 1652255068.8298
MEM 214.933594 1652255068.9301
MEM 214.933594 1652255069.0304
MEM 214.933594 1652255069.1308
MEM 214.933594 1652255069.2311
MEM 214.933594 1652255069.3314
MEM 214.933594 1652255069.4317
MEM 214.933594 1652255069.5320
MEM 214.933594 1652255069.6322
MEM 214.933594 1652255069.7326
MEM 214.933594 1652255069.8329
MEM 214.933594 1652255069.9332
MEM 214.933594 1652255070.0335
MEM 214.933594 1652255070.1338
MEM 214.933594 1652255070.2341
MEM 214.933594 1652255070.3343
MEM 214.933594 1652255070.4346
MEM 214.933594 1652255070.5350
MEM 214.933594 1652255070.6352
MEM 214.933594 1652255070.7355
MEM 214.933594 1652255070.8358
MEM 214.933594 1652255070.9361
MEM 214.933594 1652255071.0365
MEM 214.933594 1652255071.1368
MEM 214.933594 1652255071.2371
MEM 214.933594 1652255071.3373
MEM 214.933594 1652255071.4376
MEM 214.933594 1652255071.5378
MEM 214.933594 1652255071.6381
MEM 214.933594 1652255071.7383
MEM 214.933594 1652255071.8386
MEM 214.933594 1652255071.9389
MEM 214.933594 1652255072.0391
MEM 214.933594 1652255072.1393
MEM 214.933594 1652255072.2395
MEM 214.933594 1652255072.3398
MEM 214.933594 1652255072.4400
MEM 214.933594 1652255072.5403
MEM 214.933594 1652255072.6405
MEM 214.933594 1652255072.7408
MEM 214.933594 1652255072.8410
MEM 214.933594 1652255072.9413
MEM 214.933594 1652255073.0415
MEM 214.933594 1652255073.1418
MEM 214.933594 1652255073.2421
MEM 214.933594 1652255073.3423
MEM 214.933594 1652255073.4435
MEM 214.933594 1652255073.5452
MEM 214.933594 1652255073.6455
MEM 214.933594 1652255073.7457
MEM 214.933594 1652255073.8460
MEM 214.933594 1652255073.9462
MEM 214.933594 1652255074.0465
MEM 214.933594 1652255074.1467
MEM 214.933594 1652255074.2470
MEM 214.933594 1652255074.3473
MEM 214.933594 1652255074.4476
MEM 214.933594 1652255074.5479
MEM 214.933594 1652255074.6487
MEM 214.933594 1652255074.7490
MEM 214.933594 1652255074.8493
MEM 214.933594 1652255074.9496
MEM 214.933594 1652255075.0500
MEM 214.933594 1652255075.1503
MEM 214.933594 1652255075.2506
MEM 214.933594 1652255075.3508
MEM 214.933594 1652255075.4512
MEM 214.933594 1652255075.5515
MEM 214.933594 1652255075.6518
MEM 214.933594 1652255075.7521
MEM 214.933594 1652255075.8544
MEM 214.933594 1652255075.9547
MEM 214.933594 1652255076.0551
MEM 214.933594 1652255076.1554
MEM 214.933594 1652255076.2557
MEM 214.933594 1652255076.3560
MEM 214.933594 1652255076.4563
MEM 214.933594 1652255076.5583
MEM 214.933594 1652255076.6587
MEM 214.933594 1652255076.7590
MEM 214.933594 1652255076.8592
MEM 214.933594 1652255076.9595
MEM 214.933594 1652255077.0598
MEM 214.933594 1652255077.1601
MEM 214.933594 1652255077.2605
MEM 214.933594 1652255077.3608
MEM 214.933594 1652255077.4611
MEM 214.933594 1652255077.5614
MEM 214.933594 1652255077.6617
MEM 214.933594 1652255077.7620
MEM 214.933594 1652255077.8631
MEM 214.933594 1652255077.9634
MEM 214.933594 1652255078.0637
