CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Malaria.py
MEM 372.960938 1652244327.3203
MEM 372.960938 1652244327.4207
MEM 316.851562 1652244327.5210
MEM 326.851562 1652244327.6214
MEM 357.671875 1652244327.7217
MEM 372.960938 1652244327.8222
MEM 372.960938 1652244327.9267
MEM 326.851562 1652244328.0271
MEM 357.671875 1652244328.1276
MEM 372.960938 1652244328.2280
MEM 372.960938 1652244328.3284
MEM 326.851562 1652244328.4289
MEM 357.671875 1652244328.5292
MEM 372.960938 1652244328.6297
MEM 372.960938 1652244328.7300
MEM 326.851562 1652244328.8305
MEM 357.414062 1652244328.9309
MEM 372.742188 1652244329.0313
MEM 372.742188 1652244329.1321
MEM 326.851562 1652244329.2326
MEM 357.671875 1652244329.3329
MEM 372.960938 1652244329.4334
MEM 372.960938 1652244329.5337
MEM 326.851562 1652244329.6340
MEM 357.671875 1652244329.7344
MEM 372.960938 1652244329.8348
MEM 372.960938 1652244329.9354
MEM 326.851562 1652244330.0358
MEM 357.671875 1652244330.1362
MEM 372.960938 1652244330.2367
MEM 372.960938 1652244330.3372
MEM 326.851562 1652244330.4378
MEM 357.671875 1652244330.5382
MEM 372.960938 1652244330.6387
MEM 372.960938 1652244330.7391
MEM 372.960938 1652244330.8396
MEM 326.851562 1652244330.9400
MEM 357.414062 1652244331.0404
MEM 372.742188 1652244331.1409
MEM 372.742188 1652244331.2412
MEM 372.742188 1652244331.3416
MEM 326.851562 1652244331.4420
MEM 357.671875 1652244331.5423
MEM 372.960938 1652244331.6427
MEM 372.960938 1652244331.7471
MEM 326.851562 1652244331.8475
MEM 357.671875 1652244331.9479
MEM 372.960938 1652244332.0483
MEM 372.960938 1652244332.1487
MEM 326.851562 1652244332.2491
MEM 357.671875 1652244332.3495
MEM 372.960938 1652244332.4499
MEM 372.960938 1652244332.5503
MEM 311.824219 1652244332.6515
MEM 350.925781 1652244332.7520
MEM 357.671875 1652244332.8524
MEM 372.960938 1652244332.9528
MEM 326.851562 1652244333.0532
MEM 357.414062 1652244333.1536
MEM 372.742188 1652244333.2539
MEM 372.742188 1652244333.3543
MEM 326.851562 1652244333.4547
MEM 357.671875 1652244333.5551
MEM 372.960938 1652244333.6555
MEM 372.960938 1652244333.7559
MEM 322.851562 1652244333.8563
MEM 326.851562 1652244333.9566
MEM 357.671875 1652244334.0570
MEM 372.960938 1652244334.1574
MEM 326.851562 1652244334.2578
MEM 326.851562 1652244334.3581
MEM 357.671875 1652244334.4585
MEM 372.960938 1652244334.5590
MEM 372.960938 1652244334.6593
MEM 326.851562 1652244334.7597
MEM 338.886719 1652244334.8601
MEM 366.960938 1652244334.9605
MEM 372.960938 1652244335.0608
MEM 312.593750 1652244335.1618
MEM 326.851562 1652244335.2622
MEM 357.414062 1652244335.3625
MEM 372.742188 1652244335.4629
MEM 372.742188 1652244335.5633
MEM 326.851562 1652244335.6636
MEM 326.851562 1652244335.7639
MEM 357.671875 1652244335.8643
MEM 372.960938 1652244335.9646
MEM 326.851562 1652244336.0650
MEM 357.671875 1652244336.1653
MEM 372.960938 1652244336.2657
MEM 372.960938 1652244336.3659
MEM 326.851562 1652244336.4663
MEM 357.671875 1652244336.5666
MEM 372.960938 1652244336.6670
MEM 372.960938 1652244336.7674
MEM 372.960938 1652244336.8699
MEM 326.851562 1652244336.9703
MEM 357.671875 1652244337.0707
MEM 372.960938 1652244337.1711
MEM 372.960938 1652244337.2715
MEM 372.960938 1652244337.3718
MEM 326.851562 1652244337.4722
MEM 357.414062 1652244337.5726
MEM 372.742188 1652244337.6730
MEM 372.742188 1652244337.7754
MEM 326.851562 1652244337.8759
MEM 341.636719 1652244337.9763
MEM 357.671875 1652244338.0767
MEM 372.960938 1652244338.1792
MEM 372.960938 1652244338.2796
MEM 326.851562 1652244338.3799
MEM 357.671875 1652244338.4803
MEM 372.960938 1652244338.5807
MEM 372.960938 1652244338.6811
MEM 312.851562 1652244338.7814
