CMDLINE /usr/bin/python3 scripts/Lasso-SVM-TARA.py
MEM 280.093750 1652295423.6300
MEM 280.093750 1652295423.7304
MEM 289.882812 1652295423.8309
MEM 260.707031 1652295423.9313
MEM 280.093750 1652295424.0317
MEM 289.882812 1652295424.1322
MEM 289.882812 1652295424.2326
MEM 260.707031 1652295424.3330
MEM 280.351562 1652295424.4335
MEM 280.351562 1652295424.5340
MEM 290.140625 1652295424.6344
MEM 270.046875 1652295424.7349
MEM 280.093750 1652295424.8353
MEM 289.882812 1652295424.9358
MEM 260.707031 1652295425.0362
MEM 280.093750 1652295425.1366
MEM 280.093750 1652295425.2370
MEM 289.882812 1652295425.3374
MEM 260.707031 1652295425.4378
MEM 280.093750 1652295425.5383
MEM 289.882812 1652295425.6387
MEM 289.882812 1652295425.7392
MEM 260.707031 1652295425.8398
MEM 280.093750 1652295425.9401
MEM 289.882812 1652295426.0406
MEM 260.707031 1652295426.1412
MEM 280.351562 1652295426.2417
MEM 280.351562 1652295426.3423
MEM 290.140625 1652295426.4428
MEM 260.707031 1652295426.5433
MEM 280.093750 1652295426.6438
MEM 280.093750 1652295426.7442
MEM 289.882812 1652295426.8447
MEM 260.707031 1652295426.9453
MEM 280.093750 1652295427.0457
MEM 289.882812 1652295427.1462
MEM 258.902344 1652295427.2467
MEM 260.707031 1652295427.3471
MEM 289.882812 1652295427.4476
MEM 289.882812 1652295427.5481
MEM 260.707031 1652295427.6485
MEM 280.093750 1652295427.7489
MEM 289.882812 1652295427.8493
MEM 249.050781 1652295427.9497
MEM 260.707031 1652295428.0502
MEM 280.351562 1652295428.1506
MEM 290.140625 1652295428.2511
MEM 260.707031 1652295428.3516
MEM 260.707031 1652295428.4521
MEM 289.882812 1652295428.5526
MEM 289.882812 1652295428.6529
MEM 260.707031 1652295428.7533
MEM 280.093750 1652295428.8538
MEM 280.093750 1652295428.9542
MEM 289.882812 1652295429.0548
MEM 260.707031 1652295429.1553
MEM 280.093750 1652295429.2556
MEM 280.093750 1652295429.3560
MEM 289.882812 1652295429.4565
MEM 260.707031 1652295429.5570
MEM 289.109375 1652295429.6575
MEM 289.882812 1652295429.7580
MEM 260.707031 1652295429.8584
MEM 280.351562 1652295429.9588
MEM 280.351562 1652295430.0592
MEM 290.140625 1652295430.1598
MEM 260.707031 1652295430.2602
MEM 280.093750 1652295430.3607
MEM 280.093750 1652295430.4611
MEM 249.050781 1652295430.5616
MEM 260.707031 1652295430.6620
MEM 280.093750 1652295430.7625
MEM 289.882812 1652295430.8630
MEM 260.707031 1652295430.9634
MEM 280.093750 1652295431.0638
MEM 289.882812 1652295431.1643
MEM 260.707031 1652295431.2646
MEM 280.093750 1652295431.3651
MEM 280.093750 1652295431.4655
MEM 289.882812 1652295431.5661
MEM 260.707031 1652295431.6665
MEM 280.351562 1652295431.7669
MEM 280.351562 1652295431.8674
MEM 290.140625 1652295431.9678
MEM 260.707031 1652295432.0682
MEM 280.093750 1652295432.1687
MEM 289.882812 1652295432.2691
MEM 289.882812 1652295432.3695
MEM 260.707031 1652295432.4699
MEM 280.093750 1652295432.5703
MEM 289.882812 1652295432.6708
MEM 260.707031 1652295432.7712
MEM 270.562500 1652295432.8716
MEM 289.882812 1652295432.9720
MEM 289.882812 1652295433.0748
MEM 260.707031 1652295433.1751
MEM 280.093750 1652295433.2756
MEM 289.882812 1652295433.3761
MEM 250.593750 1652295433.4765
MEM 280.351562 1652295433.5769
MEM 290.140625 1652295433.6773
MEM 260.707031 1652295433.7777
MEM 280.093750 1652295433.8782
MEM 289.882812 1652295433.9786
MEM 259.417969 1652295434.0790
MEM 270.562500 1652295434.1794
MEM 280.093750 1652295434.2799
MEM 289.882812 1652295434.3803
MEM 289.882812 1652295434.4807
MEM 260.707031 1652295434.5811
MEM 280.093750 1652295434.6815
MEM 289.882812 1652295434.7819
MEM 260.707031 1652295434.8823
MEM 280.093750 1652295434.9828
MEM 280.093750 1652295435.0833
MEM 289.882812 1652295435.1838
MEM 260.707031 1652295435.2843
MEM 280.351562 1652295435.3847
MEM 280.351562 1652295435.4852
MEM 290.140625 1652295435.5856
MEM 260.707031 1652295435.6861
MEM 280.093750 1652295435.7866
MEM 280.093750 1652295435.8870
MEM 289.882812 1652295435.9874
MEM 260.707031 1652295436.0879
MEM 280.093750 1652295436.1883
MEM 280.093750 1652295436.2888
MEM 289.882812 1652295436.3892
MEM 260.707031 1652295436.4897
MEM 280.093750 1652295436.5901
MEM 289.882812 1652295436.6906
MEM 260.707031 1652295436.7911
