CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 323.207031 1652243473.0285
MEM 324.238281 1652243473.1289
MEM 355.019531 1652243473.2293
MEM 370.347656 1652243473.3319
MEM 370.347656 1652243473.4323
MEM 324.238281 1652243473.5326
MEM 355.019531 1652243473.6331
MEM 370.347656 1652243473.7335
MEM 370.347656 1652243473.8339
MEM 324.238281 1652243473.9344
MEM 324.238281 1652243474.0352
MEM 355.019531 1652243474.1357
MEM 370.347656 1652243474.2365
MEM 370.347656 1652243474.3369
MEM 318.457031 1652243474.4375
MEM 324.238281 1652243474.5378
MEM 355.019531 1652243474.6382
MEM 370.347656 1652243474.7386
MEM 310.199219 1652243474.8390
MEM 324.238281 1652243474.9394
MEM 354.761719 1652243475.0398
MEM 370.089844 1652243475.1404
MEM 370.089844 1652243475.2408
MEM 324.238281 1652243475.3413
MEM 355.019531 1652243475.4417
MEM 370.347656 1652243475.5422
MEM 370.347656 1652243475.6426
MEM 324.238281 1652243475.7442
MEM 355.019531 1652243475.8446
MEM 370.347656 1652243475.9451
MEM 370.347656 1652243476.0454
MEM 324.238281 1652243476.1459
MEM 355.019531 1652243476.2463
MEM 370.347656 1652243476.3466
MEM 370.347656 1652243476.4471
MEM 324.238281 1652243476.5475
MEM 355.019531 1652243476.6478
MEM 370.347656 1652243476.7482
MEM 370.347656 1652243476.8486
MEM 324.238281 1652243476.9489
MEM 342.273438 1652243477.0493
MEM 369.058594 1652243477.1497
MEM 370.089844 1652243477.2501
MEM 318.457031 1652243477.3505
MEM 324.238281 1652243477.4508
MEM 355.019531 1652243477.5513
MEM 370.347656 1652243477.6517
MEM 370.347656 1652243477.7521
MEM 324.238281 1652243477.8525
MEM 355.019531 1652243477.9529
MEM 370.347656 1652243478.0534
MEM 370.347656 1652243478.1538
MEM 370.347656 1652243478.2543
MEM 324.238281 1652243478.3547
MEM 355.019531 1652243478.4551
MEM 370.347656 1652243478.5556
MEM 370.347656 1652243478.6560
MEM 324.238281 1652243478.7565
MEM 355.019531 1652243478.8569
MEM 370.347656 1652243478.9574
MEM 370.347656 1652243479.0578
MEM 324.238281 1652243479.1582
MEM 354.761719 1652243479.2586
MEM 370.089844 1652243479.3590
MEM 370.089844 1652243479.4593
MEM 324.238281 1652243479.5597
MEM 355.019531 1652243479.6601
