CMDLINE /usr/bin/python3 scripts/tSNE-RF-TARA.py
MEM 253.378906 1652255556.0503
MEM 253.378906 1652255556.1506
MEM 253.378906 1652255556.2509
MEM 253.378906 1652255556.3512
MEM 253.378906 1652255556.4515
MEM 253.378906 1652255556.5518
MEM 253.378906 1652255556.6521
MEM 253.378906 1652255556.7524
MEM 253.378906 1652255556.8527
MEM 253.378906 1652255556.9552
MEM 253.378906 1652255557.0556
MEM 253.378906 1652255557.1559
MEM 253.378906 1652255557.2562
MEM 253.378906 1652255557.3565
MEM 253.378906 1652255557.4568
MEM 253.378906 1652255557.5571
MEM 253.378906 1652255557.6574
MEM 253.378906 1652255557.7578
MEM 253.378906 1652255557.8581
MEM 253.378906 1652255557.9584
MEM 253.378906 1652255558.0601
MEM 253.378906 1652255558.1604
MEM 253.378906 1652255558.2606
MEM 253.378906 1652255558.3624
MEM 253.378906 1652255558.4627
MEM 253.378906 1652255558.5644
MEM 253.378906 1652255558.6647
MEM 253.378906 1652255558.7650
MEM 253.378906 1652255558.8653
MEM 253.378906 1652255558.9672
MEM 253.378906 1652255559.0676
MEM 253.378906 1652255559.1679
MEM 253.378906 1652255559.2682
MEM 253.378906 1652255559.3685
MEM 253.378906 1652255559.4688
MEM 253.378906 1652255559.5707
MEM 253.378906 1652255559.6711
MEM 253.378906 1652255559.7716
MEM 253.378906 1652255559.8719
MEM 253.378906 1652255559.9721
MEM 253.378906 1652255560.0724
MEM 253.378906 1652255560.1727
MEM 253.378906 1652255560.2730
MEM 253.378906 1652255560.3733
MEM 253.378906 1652255560.4737
MEM 253.378906 1652255560.5740
MEM 253.378906 1652255560.6743
MEM 253.378906 1652255560.7747
MEM 253.378906 1652255560.8750
MEM 253.378906 1652255560.9754
MEM 253.378906 1652255561.0757
MEM 253.378906 1652255561.1760
MEM 253.378906 1652255561.2764
MEM 253.378906 1652255561.3767
MEM 253.378906 1652255561.4770
MEM 253.378906 1652255561.5773
MEM 253.378906 1652255561.6776
MEM 253.378906 1652255561.7781
MEM 253.378906 1652255561.8784
MEM 253.378906 1652255561.9787
MEM 253.378906 1652255562.0790
MEM 253.378906 1652255562.1793
MEM 253.378906 1652255562.2796
MEM 253.378906 1652255562.3799
MEM 253.378906 1652255562.4815
MEM 253.378906 1652255562.5818
MEM 253.378906 1652255562.6821
MEM 253.378906 1652255562.7839
MEM 253.378906 1652255562.8842
MEM 253.378906 1652255562.9846
MEM 253.378906 1652255563.0849
MEM 253.378906 1652255563.1853
MEM 253.378906 1652255563.2856
MEM 253.378906 1652255563.3858
MEM 253.378906 1652255563.4861
MEM 253.378906 1652255563.5864
MEM 253.378906 1652255563.6867
MEM 253.378906 1652255563.7889
MEM 253.378906 1652255563.8893
MEM 253.378906 1652255563.9896
MEM 253.378906 1652255564.0898
MEM 253.378906 1652255564.1901
MEM 253.378906 1652255564.2904
MEM 253.378906 1652255564.3906
MEM 253.378906 1652255564.4910
MEM 253.378906 1652255564.5914
MEM 253.378906 1652255564.6917
MEM 253.378906 1652255564.7919
MEM 253.378906 1652255564.8922
MEM 253.378906 1652255564.9925
MEM 253.378906 1652255565.0928
MEM 253.378906 1652255565.1931
MEM 253.378906 1652255565.2935
MEM 253.378906 1652255565.3938
MEM 253.378906 1652255565.4941
MEM 253.378906 1652255565.5943
MEM 253.378906 1652255565.6946
MEM 253.378906 1652255565.7949
MEM 253.378906 1652255565.8953
MEM 253.378906 1652255565.9956
MEM 253.378906 1652255566.0959
MEM 253.378906 1652255566.1962
MEM 253.378906 1652255566.2965
MEM 253.378906 1652255566.3968
MEM 253.378906 1652255566.4971
MEM 253.378906 1652255566.5975
MEM 253.378906 1652255566.6979
MEM 253.378906 1652255566.7982
MEM 253.378906 1652255566.9013
MEM 253.378906 1652255567.0016
MEM 253.378906 1652255567.1019
MEM 253.378906 1652255567.2037
MEM 253.378906 1652255567.3041
MEM 253.378906 1652255567.4045
