CMDLINE /usr/bin/python3 scripts/AE-RF-TARA.py
MEM 2137.054688 1652244250.7152
MEM 2137.054688 1652244250.8156
MEM 2137.054688 1652244250.9161
MEM 2137.566406 1652244251.0165
MEM 2137.566406 1652244251.1169
MEM 2142.207031 1652244251.2173
MEM 2159.726562 1652244251.3177
MEM 2159.968750 1652244251.4181
MEM 2162.230469 1652244251.5185
MEM 2165.042969 1652244251.6190
MEM 2165.023438 1652244251.7194
MEM 2165.007812 1652244251.8199
MEM 2165.566406 1652244251.9203
MEM 2165.566406 1652244252.0207
MEM 2165.566406 1652244252.1211
MEM 2165.566406 1652244252.2215
MEM 2165.566406 1652244252.3219
MEM 2165.566406 1652244252.4222
MEM 2165.546875 1652244252.5226
MEM 2165.546875 1652244252.6231
MEM 2165.546875 1652244252.7236
MEM 2165.546875 1652244252.8241
MEM 2165.546875 1652244252.9246
MEM 2165.546875 1652244253.0250
MEM 2165.546875 1652244253.1254
MEM 2165.546875 1652244253.2258
MEM 2165.546875 1652244253.3263
MEM 2165.546875 1652244253.4269
MEM 2176.613281 1652244253.5273
MEM 2191.812500 1652244253.6278
MEM 2192.066406 1652244253.7282
MEM 2192.066406 1652244253.8287
MEM 2192.066406 1652244253.9296
MEM 2192.066406 1652244254.0303
MEM 2192.066406 1652244254.1307
MEM 2192.324219 1652244254.2311
MEM 2192.324219 1652244254.3314
MEM 2197.644531 1652244254.4318
MEM 2200.207031 1652244254.5329
MEM 2204.140625 1652244254.6333
MEM 2206.695312 1652244254.7337
MEM 2212.515625 1652244254.8341
MEM 2214.539062 1652244254.9346
MEM 2219.082031 1652244255.0350
MEM 2219.082031 1652244255.1354
MEM 2219.335938 1652244255.2358
MEM 2219.675781 1652244255.3362
MEM 2219.675781 1652244255.4365
MEM 2219.933594 1652244255.5369
MEM 2220.191406 1652244255.6376
MEM 2220.148438 1652244255.7380
MEM 2220.148438 1652244255.8384
MEM 2220.148438 1652244255.9388
MEM 2220.148438 1652244256.0392
MEM 2220.148438 1652244256.1396
MEM 2220.148438 1652244256.2401
MEM 2220.402344 1652244256.3405
MEM 2220.660156 1652244256.4410
MEM 2220.660156 1652244256.5415
MEM 2222.453125 1652244256.6421
MEM 2233.281250 1652244256.7426
MEM 2233.281250 1652244256.8432
MEM 2233.902344 1652244256.9437
MEM 2186.011719 1652244257.0442
MEM 2186.011719 1652244257.1446
MEM 2186.011719 1652244257.2450
MEM 2186.011719 1652244257.3455
MEM 2186.011719 1652244257.4459
MEM 2186.011719 1652244257.5465
MEM 2186.011719 1652244257.6470
MEM 2186.011719 1652244257.7474
MEM 2186.011719 1652244257.8479
MEM 2195.265625 1652244257.9486
MEM 2203.496094 1652244258.0491
MEM 2205.777344 1652244258.1495
MEM 2205.746094 1652244258.2499
MEM 2207.386719 1652244258.3503
MEM 2207.996094 1652244258.4511
MEM 2208.628906 1652244258.5519
