CMDLINE /usr/bin/python3 scripts/tSNE-SVM-TARA.py
MEM 276.945312 1652297111.3026
MEM 276.945312 1652297111.4030
MEM 276.945312 1652297111.5034
MEM 276.945312 1652297111.6038
MEM 276.945312 1652297111.7042
MEM 276.945312 1652297111.8046
MEM 276.945312 1652297111.9050
MEM 276.945312 1652297112.0054
MEM 276.945312 1652297112.1058
MEM 276.945312 1652297112.2064
MEM 276.945312 1652297112.3068
MEM 276.945312 1652297112.4073
MEM 276.945312 1652297112.5077
MEM 276.945312 1652297112.6080
MEM 276.945312 1652297112.7084
MEM 276.945312 1652297112.8088
MEM 276.945312 1652297112.9092
MEM 276.945312 1652297113.0096
MEM 276.945312 1652297113.1099
MEM 276.945312 1652297113.2103
MEM 276.945312 1652297113.3107
MEM 276.945312 1652297113.4111
MEM 276.945312 1652297113.5116
MEM 276.945312 1652297113.6119
MEM 276.945312 1652297113.7123
MEM 276.945312 1652297113.8127
MEM 276.945312 1652297113.9131
MEM 276.945312 1652297114.0134
MEM 276.945312 1652297114.1138
MEM 276.945312 1652297114.2142
MEM 276.945312 1652297114.3147
MEM 276.945312 1652297114.4151
MEM 276.945312 1652297114.5155
MEM 276.945312 1652297114.6159
MEM 276.945312 1652297114.7163
MEM 276.945312 1652297114.8167
MEM 276.945312 1652297114.9171
MEM 276.945312 1652297115.0175
MEM 276.945312 1652297115.1179
MEM 276.945312 1652297115.2183
MEM 276.945312 1652297115.3188
MEM 276.945312 1652297115.4191
MEM 276.945312 1652297115.5195
MEM 276.945312 1652297115.6199
MEM 276.945312 1652297115.7204
MEM 276.945312 1652297115.8208
MEM 276.945312 1652297115.9212
MEM 276.945312 1652297116.0216
MEM 276.945312 1652297116.1220
MEM 276.945312 1652297116.2225
MEM 276.945312 1652297116.3229
MEM 276.945312 1652297116.4232
MEM 276.945312 1652297116.5237
MEM 276.945312 1652297116.6241
MEM 276.945312 1652297116.7245
MEM 276.945312 1652297116.8249
MEM 276.945312 1652297116.9253
MEM 276.945312 1652297117.0256
MEM 276.945312 1652297117.1261
MEM 276.945312 1652297117.2265
MEM 276.945312 1652297117.3269
MEM 276.945312 1652297117.4274
MEM 276.945312 1652297117.5295
MEM 276.945312 1652297117.6299
MEM 276.945312 1652297117.7303
MEM 276.945312 1652297117.8307
MEM 276.945312 1652297117.9311
MEM 276.945312 1652297118.0315
MEM 276.945312 1652297118.1318
MEM 276.945312 1652297118.2322
MEM 276.945312 1652297118.3326
MEM 276.945312 1652297118.4329
MEM 276.945312 1652297118.5333
MEM 276.945312 1652297118.6337
MEM 276.945312 1652297118.7340
MEM 276.945312 1652297118.8344
MEM 276.945312 1652297118.9347
MEM 276.945312 1652297119.0351
MEM 276.945312 1652297119.1355
MEM 276.945312 1652297119.2359
MEM 276.945312 1652297119.3363
MEM 276.945312 1652297119.4367
MEM 276.945312 1652297119.5370
MEM 276.945312 1652297119.6374
MEM 276.945312 1652297119.7378
MEM 276.945312 1652297119.8382
MEM 276.945312 1652297119.9386
MEM 276.945312 1652297120.0390
MEM 276.945312 1652297120.1393
MEM 276.945312 1652297120.2397
MEM 276.945312 1652297120.3403
MEM 276.945312 1652297120.4407
MEM 276.945312 1652297120.5411
MEM 276.945312 1652297120.6414
MEM 276.945312 1652297120.7418
MEM 276.945312 1652297120.8423
MEM 276.945312 1652297120.9426
MEM 276.945312 1652297121.0430
MEM 276.945312 1652297121.1434
MEM 276.945312 1652297121.2438
MEM 276.945312 1652297121.3442
MEM 276.945312 1652297121.4448
MEM 276.945312 1652297121.5452
MEM 276.945312 1652297121.6455
MEM 276.945312 1652297121.7459
MEM 276.945312 1652297121.8463
MEM 276.945312 1652297121.9467
MEM 276.945312 1652297122.0470
MEM 276.945312 1652297122.1474
MEM 276.945312 1652297122.2479
MEM 276.945312 1652297122.3485
MEM 276.945312 1652297122.4489
MEM 276.945312 1652297122.5494
MEM 276.945312 1652297122.6497
MEM 276.945312 1652297122.7501
MEM 276.945312 1652297122.8505
MEM 276.945312 1652297122.9508
MEM 276.945312 1652297123.0512
MEM 276.945312 1652297123.1516
MEM 276.945312 1652297123.2519
MEM 276.945312 1652297123.3523
MEM 276.945312 1652297123.4527
MEM 276.945312 1652297123.5531
MEM 276.945312 1652297123.6537
MEM 276.945312 1652297123.7543
MEM 276.945312 1652297123.8546
MEM 276.945312 1652297123.9550
MEM 276.945312 1652297124.0555
MEM 276.945312 1652297124.1558
MEM 276.945312 1652297124.2562
MEM 276.945312 1652297124.3565
MEM 276.945312 1652297124.4569
MEM 276.945312 1652297124.5573
MEM 276.945312 1652297124.6577
