CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 1012.152344 1652240728.8539
MEM 1012.152344 1652240728.9543
MEM 1012.152344 1652240729.0547
MEM 1018.843750 1652240729.1552
MEM 1018.894531 1652240729.2556
MEM 1019.144531 1652240729.3560
MEM 1019.394531 1652240729.4563
MEM 1019.394531 1652240729.5567
MEM 1022.726562 1652240729.6571
MEM 1022.726562 1652240729.7576
MEM 1022.726562 1652240729.8580
MEM 1022.976562 1652240729.9584
MEM 1050.531250 1652240730.0589
MEM 1050.960938 1652240730.1592
MEM 1051.261719 1652240730.2596
MEM 1051.261719 1652240730.3600
MEM 1055.125000 1652240730.4604
MEM 1055.125000 1652240730.5608
MEM 1055.468750 1652240730.6612
MEM 1057.011719 1652240730.7616
MEM 1059.589844 1652240730.8621
MEM 1061.589844 1652240730.9625
MEM 1061.585938 1652240731.0629
MEM 1069.085938 1652240731.1633
MEM 1063.441406 1652240731.2637
MEM 1064.367188 1652240731.3642
MEM 1064.367188 1652240731.4646
MEM 1064.367188 1652240731.5650
MEM 1064.367188 1652240731.6654
MEM 1064.367188 1652240731.7659
MEM 1064.347656 1652240731.8663
MEM 1064.347656 1652240731.9667
MEM 1064.597656 1652240732.0671
MEM 1065.097656 1652240732.1675
MEM 1065.097656 1652240732.2679
MEM 1068.703125 1652240732.3683
MEM 1070.250000 1652240732.4687
MEM 1070.507812 1652240732.5690
MEM 1072.828125 1652240732.6693
MEM 1083.886719 1652240732.7697
MEM 1083.984375 1652240732.8700
MEM 1084.238281 1652240732.9704
MEM 1084.496094 1652240733.0707
MEM 1088.363281 1652240733.1710
MEM 1088.363281 1652240733.2713
MEM 1088.363281 1652240733.3716
MEM 1092.488281 1652240733.4719
MEM 1094.671875 1652240733.5723
MEM 1100.121094 1652240733.6727
MEM 1107.457031 1652240733.7732
MEM 1112.953125 1652240733.8736
MEM 1113.253906 1652240733.9740
MEM 1113.253906 1652240734.0744
MEM 1113.253906 1652240734.1748
MEM 1113.253906 1652240734.2752
MEM 1113.253906 1652240734.3756
MEM 1118.386719 1652240734.4760
MEM 1118.652344 1652240734.5764
MEM 1118.652344 1652240734.6768
MEM 1118.902344 1652240734.7772
MEM 1119.355469 1652240734.8775
MEM 1119.355469 1652240734.9779
MEM 1122.710938 1652240735.0783
MEM 1122.710938 1652240735.1787
MEM 1122.710938 1652240735.2791
MEM 1122.710938 1652240735.3794
MEM 1122.710938 1652240735.4799
MEM 1136.113281 1652240735.5803
MEM 1136.113281 1652240735.6807
MEM 1136.398438 1652240735.7811
MEM 1136.398438 1652240735.8827
MEM 1136.398438 1652240735.9831
MEM 1136.398438 1652240736.0835
MEM 1136.613281 1652240736.1839
MEM 1140.734375 1652240736.2843
MEM 1140.734375 1652240736.3847
MEM 1142.972656 1652240736.4851
MEM 1144.753906 1652240736.5855
MEM 1144.941406 1652240736.6859
MEM 1146.914062 1652240736.7863
MEM 1148.976562 1652240736.8867
