CMDLINE /usr/bin/python3 scripts/tSNE-RF-Rhizo.py
MEM 203.574219 1652242122.2740
MEM 203.574219 1652242122.3742
MEM 203.574219 1652242122.4745
MEM 203.574219 1652242122.5748
MEM 203.574219 1652242122.6750
MEM 203.574219 1652242122.7753
MEM 203.574219 1652242122.8758
MEM 203.574219 1652242122.9760
MEM 203.574219 1652242123.0763
MEM 203.574219 1652242123.1766
MEM 203.574219 1652242123.2769
MEM 203.574219 1652242123.3771
MEM 203.574219 1652242123.4774
MEM 203.574219 1652242123.5777
MEM 203.574219 1652242123.6780
MEM 203.574219 1652242123.7782
MEM 203.574219 1652242123.8785
MEM 203.574219 1652242123.9788
MEM 203.574219 1652242124.0791
MEM 203.574219 1652242124.1793
MEM 203.574219 1652242124.2796
MEM 203.574219 1652242124.3806
MEM 203.574219 1652242124.4819
MEM 203.574219 1652242124.5842
MEM 203.574219 1652242124.6864
MEM 203.574219 1652242124.7868
MEM 203.574219 1652242124.8870
MEM 203.574219 1652242124.9873
MEM 203.574219 1652242125.0876
MEM 203.574219 1652242125.1892
MEM 203.574219 1652242125.2895
MEM 203.574219 1652242125.3898
MEM 203.574219 1652242125.4913
MEM 203.574219 1652242125.5917
MEM 203.574219 1652242125.6921
MEM 203.574219 1652242125.7924
MEM 203.574219 1652242125.8927
MEM 203.574219 1652242125.9930
MEM 203.574219 1652242126.0933
MEM 203.574219 1652242126.1935
MEM 203.574219 1652242126.2938
MEM 203.574219 1652242126.3942
MEM 203.574219 1652242126.4946
MEM 203.574219 1652242126.5950
MEM 203.574219 1652242126.6953
MEM 203.574219 1652242126.7956
MEM 203.574219 1652242126.8958
MEM 203.574219 1652242126.9961
MEM 203.574219 1652242127.0965
MEM 203.574219 1652242127.1969
MEM 203.574219 1652242127.2973
MEM 203.574219 1652242127.3976
MEM 203.574219 1652242127.5014
MEM 203.574219 1652242127.6037
MEM 203.574219 1652242127.7040
MEM 203.574219 1652242127.8044
MEM 203.574219 1652242127.9048
MEM 203.574219 1652242128.0068
MEM 203.574219 1652242128.1071
MEM 203.574219 1652242128.2074
MEM 203.574219 1652242128.3077
MEM 203.574219 1652242128.4093
MEM 203.574219 1652242128.5095
MEM 203.574219 1652242128.6099
MEM 203.574219 1652242128.7102
MEM 203.574219 1652242128.8105
MEM 203.574219 1652242128.9108
MEM 203.574219 1652242129.0111
MEM 203.574219 1652242129.1114
MEM 203.574219 1652242129.2116
MEM 203.574219 1652242129.3120
MEM 203.574219 1652242129.4123
MEM 203.574219 1652242129.5127
MEM 203.574219 1652242129.6130
MEM 203.574219 1652242129.7133
MEM 203.574219 1652242129.8136
MEM 203.574219 1652242129.9140
MEM 203.574219 1652242130.0144
MEM 203.574219 1652242130.1148
MEM 203.574219 1652242130.2151
MEM 203.574219 1652242130.3154
MEM 203.574219 1652242130.4157
MEM 203.574219 1652242130.5160
MEM 203.574219 1652242130.6163
MEM 203.574219 1652242130.7166
MEM 203.574219 1652242130.8170
MEM 203.574219 1652242130.9174
MEM 203.574219 1652242131.0177
MEM 203.574219 1652242131.1180
MEM 203.574219 1652242131.2183
MEM 203.574219 1652242131.3186
MEM 203.574219 1652242131.4191
MEM 203.574219 1652242131.5194
MEM 203.574219 1652242131.6198
MEM 203.574219 1652242131.7201
MEM 203.574219 1652242131.8204
MEM 203.574219 1652242131.9207
MEM 203.574219 1652242132.0210
MEM 203.574219 1652242132.1213
MEM 203.574219 1652242132.2235
MEM 203.574219 1652242132.3262
MEM 203.574219 1652242132.4265
MEM 203.574219 1652242132.5268
MEM 203.574219 1652242132.6271
MEM 203.574219 1652242132.7273
MEM 203.574219 1652242132.8276
MEM 203.574219 1652242132.9279
MEM 203.574219 1652242133.0282
MEM 203.574219 1652242133.1285
MEM 203.574219 1652242133.2288
MEM 203.574219 1652242133.3291
MEM 203.574219 1652242133.4316
MEM 203.574219 1652242133.5319
MEM 203.574219 1652242133.6322
MEM 203.574219 1652242133.7325
MEM 203.574219 1652242133.8329
MEM 203.574219 1652242133.9332
MEM 203.574219 1652242134.0335
MEM 203.574219 1652242134.1338
MEM 203.574219 1652242134.2341
MEM 203.574219 1652242134.3343
MEM 203.574219 1652242134.4370
MEM 203.574219 1652242134.5373
MEM 203.574219 1652242134.6376
MEM 203.574219 1652242134.7402
MEM 203.574219 1652242134.8405
MEM 203.574219 1652242134.9408
MEM 203.574219 1652242135.0410
MEM 203.574219 1652242135.1413
MEM 203.574219 1652242135.2437
MEM 203.574219 1652242135.3440
MEM 203.574219 1652242135.4443
MEM 203.574219 1652242135.5478
MEM 203.574219 1652242135.6481
MEM 203.574219 1652242135.7503
MEM 203.574219 1652242135.8525
MEM 203.574219 1652242135.9528
MEM 203.574219 1652242136.0532
MEM 203.574219 1652242136.1535
MEM 203.574219 1652242136.2539
MEM 203.574219 1652242136.3541
MEM 203.574219 1652242136.4544
MEM 203.574219 1652242136.5565
MEM 203.574219 1652242136.6568
MEM 203.574219 1652242136.7571
MEM 203.574219 1652242136.8575
MEM 203.574219 1652242136.9577
MEM 203.574219 1652242137.0581
MEM 203.574219 1652242137.1584
MEM 203.574219 1652242137.2591
MEM 203.574219 1652242137.3593
MEM 203.574219 1652242137.4597
MEM 203.574219 1652242137.5601
MEM 203.574219 1652242137.6604
MEM 203.574219 1652242137.7606
MEM 203.574219 1652242137.8609
MEM 203.574219 1652242137.9612
MEM 203.574219 1652242138.0615
MEM 203.574219 1652242138.1635
MEM 203.574219 1652242138.2638
MEM 203.574219 1652242138.3641
MEM 203.574219 1652242138.4644
MEM 203.574219 1652242138.5646
MEM 203.574219 1652242138.6649
MEM 203.574219 1652242138.7653
MEM 203.574219 1652242138.8656
MEM 203.574219 1652242138.9659
MEM 203.574219 1652242139.0662
MEM 203.574219 1652242139.1665
MEM 203.574219 1652242139.2668
MEM 203.574219 1652242139.3671
MEM 203.574219 1652242139.4674
MEM 203.574219 1652242139.5701
MEM 203.574219 1652242139.6704
MEM 203.574219 1652242139.7708
MEM 203.574219 1652242139.8711
MEM 203.574219 1652242139.9713
MEM 203.574219 1652242140.0716
MEM 203.574219 1652242140.1719
MEM 203.574219 1652242140.2721
MEM 203.574219 1652242140.3724
MEM 203.574219 1652242140.4727
MEM 203.574219 1652242140.5730
MEM 203.574219 1652242140.6733
MEM 203.574219 1652242140.7736
MEM 203.574219 1652242140.8739
MEM 203.574219 1652242140.9742
MEM 203.574219 1652242141.0745
MEM 203.574219 1652242141.1749
MEM 203.574219 1652242141.2751
MEM 203.574219 1652242141.3754
MEM 203.574219 1652242141.4757
MEM 203.574219 1652242141.5762
MEM 203.574219 1652242141.6764
MEM 203.574219 1652242141.7767
MEM 203.574219 1652242141.8770
MEM 203.574219 1652242141.9774
MEM 203.574219 1652242142.0777
MEM 203.574219 1652242142.1780
MEM 203.574219 1652242142.2783
MEM 203.574219 1652242142.3785
MEM 203.574219 1652242142.4788
MEM 203.574219 1652242142.5791
MEM 203.574219 1652242142.6794
MEM 203.574219 1652242142.7797
MEM 203.574219 1652242142.8800
MEM 203.574219 1652242142.9803
MEM 203.574219 1652242143.0805
MEM 203.574219 1652242143.1808
MEM 203.574219 1652242143.2811
MEM 203.574219 1652242143.3815
MEM 203.574219 1652242143.4818
MEM 203.574219 1652242143.5831
MEM 203.574219 1652242143.6834
MEM 203.574219 1652242143.7836
MEM 203.574219 1652242143.8839
MEM 203.574219 1652242143.9864
MEM 203.574219 1652242144.0868
MEM 203.574219 1652242144.1871
MEM 203.574219 1652242144.2874
MEM 203.574219 1652242144.3876
MEM 203.574219 1652242144.4879
MEM 203.574219 1652242144.5882
MEM 203.574219 1652242144.6885
MEM 203.574219 1652242144.7888
MEM 203.574219 1652242144.8892
MEM 203.574219 1652242144.9895
MEM 203.574219 1652242145.0898
MEM 203.574219 1652242145.1901
MEM 203.574219 1652242145.2904
MEM 203.574219 1652242145.3906
MEM 203.574219 1652242145.4910
MEM 203.574219 1652242145.5913
MEM 203.574219 1652242145.6916
MEM 203.574219 1652242145.7919
MEM 203.574219 1652242145.8922
MEM 203.574219 1652242145.9925
MEM 203.574219 1652242146.0928
MEM 203.574219 1652242146.1931
MEM 203.574219 1652242146.2935
MEM 203.574219 1652242146.3938
MEM 203.574219 1652242146.4941
MEM 203.574219 1652242146.5944
MEM 203.574219 1652242146.6946
MEM 203.574219 1652242146.7949
MEM 203.574219 1652242146.8952
MEM 203.574219 1652242146.9954
MEM 203.574219 1652242147.0957
MEM 203.574219 1652242147.1960
MEM 203.574219 1652242147.2962
MEM 203.574219 1652242147.3965
MEM 203.574219 1652242147.4967
MEM 203.574219 1652242147.5970
MEM 203.574219 1652242147.6972
MEM 203.574219 1652242147.7975
MEM 203.574219 1652242147.8978
MEM 203.574219 1652242147.9980
MEM 203.574219 1652242148.0983
MEM 203.574219 1652242148.1985
MEM 203.574219 1652242148.2988
MEM 203.574219 1652242148.3990
MEM 203.574219 1652242148.4993
MEM 203.574219 1652242148.5995
MEM 203.574219 1652242148.7012
MEM 203.574219 1652242148.8015
MEM 203.574219 1652242148.9032
MEM 203.574219 1652242149.0035
MEM 203.574219 1652242149.1058
MEM 203.574219 1652242149.2061
MEM 203.574219 1652242149.3064
MEM 203.574219 1652242149.4066
MEM 203.574219 1652242149.5069
MEM 203.574219 1652242149.6071
MEM 203.574219 1652242149.7073
MEM 203.574219 1652242149.8076
MEM 203.574219 1652242149.9078
MEM 203.574219 1652242150.0081
MEM 203.574219 1652242150.1084
MEM 203.574219 1652242150.2086
MEM 203.574219 1652242150.3089
MEM 203.574219 1652242150.4092
MEM 203.574219 1652242150.5094
MEM 203.574219 1652242150.6097
MEM 203.574219 1652242150.7100
MEM 203.574219 1652242150.8103
MEM 203.574219 1652242150.9106
MEM 203.574219 1652242151.0109
MEM 203.574219 1652242151.1111
MEM 203.574219 1652242151.2114
MEM 203.574219 1652242151.3123
MEM 203.574219 1652242151.4126
MEM 203.574219 1652242151.5129
MEM 203.574219 1652242151.6133
MEM 203.574219 1652242151.7137
MEM 203.574219 1652242151.8140
MEM 203.574219 1652242151.9143
MEM 203.574219 1652242152.0146
MEM 203.574219 1652242152.1149
MEM 203.574219 1652242152.2151
MEM 203.574219 1652242152.3154
MEM 203.574219 1652242152.4175
MEM 203.574219 1652242152.5178
MEM 203.574219 1652242152.6181
MEM 203.574219 1652242152.7184
MEM 203.574219 1652242152.8186
MEM 203.574219 1652242152.9189
MEM 203.574219 1652242153.0193
MEM 203.574219 1652242153.1197
MEM 203.574219 1652242153.2201
