CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 201.914062 1652241593.1353
MEM 205.523438 1652241593.2356
MEM 205.523438 1652241593.3359
MEM 205.523438 1652241593.4364
MEM 194.437500 1652241593.5367
MEM 194.437500 1652241593.6370
MEM 201.914062 1652241593.7374
MEM 201.914062 1652241593.8377
MEM 205.523438 1652241593.9382
MEM 205.523438 1652241594.0403
MEM 205.523438 1652241594.1406
MEM 191.089844 1652241594.2410
MEM 194.437500 1652241594.3413
MEM 194.437500 1652241594.4416
MEM 201.656250 1652241594.5419
MEM 201.656250 1652241594.6423
MEM 205.265625 1652241594.7592
MEM 205.265625 1652241594.8595
MEM 191.089844 1652241594.9599
MEM 194.437500 1652241595.0602
MEM 201.656250 1652241595.1606
MEM 205.265625 1652241595.2610
MEM 205.265625 1652241595.3613
MEM 205.265625 1652241595.4617
MEM 205.265625 1652241595.5620
MEM 194.437500 1652241595.6623
MEM 194.437500 1652241595.7627
MEM 201.656250 1652241595.8631
MEM 201.656250 1652241595.9635
MEM 205.265625 1652241596.0639
MEM 205.265625 1652241596.1643
MEM 205.265625 1652241596.2647
MEM 194.437500 1652241596.3731
MEM 194.437500 1652241596.4734
MEM 194.437500 1652241596.5739
MEM 201.914062 1652241596.6742
MEM 205.523438 1652241596.7746
MEM 205.523438 1652241596.8749
MEM 205.523438 1652241596.9752
MEM 205.523438 1652241597.0756
MEM 194.437500 1652241597.1760
MEM 194.437500 1652241597.2763
MEM 201.914062 1652241597.3767
MEM 201.914062 1652241597.4770
MEM 205.523438 1652241597.5773
MEM 205.523438 1652241597.6777
MEM 205.523438 1652241597.7780
MEM 194.437500 1652241597.8784
MEM 194.437500 1652241597.9787
MEM 199.851562 1652241598.0791
MEM 201.656250 1652241598.1821
MEM 201.656250 1652241598.2825
MEM 205.265625 1652241598.3829
MEM 205.265625 1652241598.4832
MEM 205.265625 1652241598.5836
MEM 194.437500 1652241598.6839
MEM 194.437500 1652241598.7843
MEM 194.437500 1652241598.8846
MEM 201.656250 1652241598.9849
MEM 201.656250 1652241599.0852
MEM 201.656250 1652241599.1856
MEM 205.265625 1652241599.2859
MEM 205.265625 1652241599.3863
MEM 205.265625 1652241599.4867
MEM 194.437500 1652241599.5871
MEM 194.437500 1652241599.6875
MEM 194.437500 1652241599.7878
MEM 201.656250 1652241599.8882
MEM 205.265625 1652241599.9886
MEM 205.265625 1652241600.0891
MEM 205.265625 1652241600.1894
MEM 191.089844 1652241600.2899
MEM 194.437500 1652241600.3903
MEM 194.437500 1652241600.4906
MEM 201.914062 1652241600.5910
MEM 201.914062 1652241600.6915
MEM 205.523438 1652241600.7918
MEM 205.523438 1652241600.8921
MEM 205.523438 1652241600.9924
MEM 194.437500 1652241601.0927
MEM 194.437500 1652241601.1930
MEM 201.914062 1652241601.2934
MEM 201.914062 1652241601.3936
MEM 205.523438 1652241601.4940
MEM 205.523438 1652241601.5942
MEM 191.089844 1652241601.6946
MEM 194.437500 1652241601.7949
MEM 194.437500 1652241601.8951
MEM 201.656250 1652241601.9954
MEM 201.656250 1652241602.0957
MEM 205.265625 1652241602.1960
MEM 205.265625 1652241602.2963
MEM 205.265625 1652241602.3965
MEM 194.437500 1652241602.4968
MEM 194.437500 1652241602.5972
MEM 194.437500 1652241602.6975
