CMDLINE /usr/bin/python3 scripts/AE-SVM-Rhizo.py
MEM 1184.886719 1652240768.0089
MEM 1184.886719 1652240768.1093
MEM 1185.140625 1652240768.2097
MEM 1185.140625 1652240768.3102
MEM 1187.203125 1652240768.4105
MEM 1187.203125 1652240768.5110
MEM 1187.203125 1652240768.6113
MEM 1189.523438 1652240768.7117
MEM 1191.324219 1652240768.8121
MEM 1195.023438 1652240768.9125
MEM 1200.277344 1652240769.0130
MEM 1204.250000 1652240769.1134
MEM 1200.992188 1652240769.2139
MEM 1201.347656 1652240769.3143
MEM 1201.347656 1652240769.4147
MEM 1201.347656 1652240769.5152
MEM 1201.347656 1652240769.6156
MEM 1202.375000 1652240769.7160
MEM 1193.457031 1652240769.8164
MEM 1193.457031 1652240769.9168
MEM 1193.687500 1652240770.0173
MEM 1193.687500 1652240770.1177
MEM 1194.437500 1652240770.2181
MEM 1194.437500 1652240770.3185
MEM 1198.300781 1652240770.4190
MEM 1198.300781 1652240770.5194
MEM 1198.300781 1652240770.6199
MEM 1198.300781 1652240770.7203
MEM 1198.300781 1652240770.8207
MEM 1225.593750 1652240770.9212
MEM 1225.593750 1652240771.0216
MEM 1225.921875 1652240771.1220
MEM 1225.921875 1652240771.2223
MEM 1229.785156 1652240771.3225
MEM 1229.785156 1652240771.4228
MEM 1229.929688 1652240771.5232
MEM 1229.929688 1652240771.6235
MEM 1234.050781 1652240771.7238
MEM 1235.863281 1652240771.8242
MEM 1243.652344 1652240771.9246
MEM 1252.949219 1652240772.0250
MEM 1254.742188 1652240772.1254
MEM 1257.070312 1652240772.2258
MEM 1257.070312 1652240772.3261
MEM 1257.070312 1652240772.4265
MEM 1257.070312 1652240772.5269
MEM 1257.070312 1652240772.6295
MEM 1257.070312 1652240772.7299
MEM 1257.070312 1652240772.8303
MEM 1257.070312 1652240772.9308
MEM 1257.070312 1652240773.0312
MEM 1257.070312 1652240773.1316
MEM 1257.070312 1652240773.2321
MEM 1257.070312 1652240773.3325
MEM 1257.070312 1652240773.4330
MEM 1257.058594 1652240773.5334
MEM 1257.058594 1652240773.6337
MEM 1257.058594 1652240773.7341
MEM 1257.312500 1652240773.8346
MEM 1257.312500 1652240773.9351
MEM 1260.679688 1652240774.0355
MEM 1260.984375 1652240774.1359
MEM 1261.234375 1652240774.2363
MEM 1261.746094 1652240774.3367
MEM 1269.222656 1652240774.4371
MEM 1269.480469 1652240774.5376
MEM 1269.480469 1652240774.6380
MEM 1269.480469 1652240774.7384
MEM 1269.480469 1652240774.8388
MEM 1282.859375 1652240774.9392
MEM 1282.859375 1652240775.0396
MEM 1282.992188 1652240775.1400
MEM 1282.992188 1652240775.2404
MEM 1286.855469 1652240775.3408
MEM 1286.855469 1652240775.4413
MEM 1287.000000 1652240775.5417
MEM 1291.121094 1652240775.6421
MEM 1291.121094 1652240775.7426
MEM 1294.464844 1652240775.8430
MEM 1296.433594 1652240775.9434
MEM 1301.496094 1652240776.0439
MEM 1301.660156 1652240776.1443
MEM 1302.066406 1652240776.2447
MEM 1302.066406 1652240776.3451
MEM 1302.066406 1652240776.4455
MEM 1302.066406 1652240776.5460
MEM 1302.042969 1652240776.6465
MEM 1309.210938 1652240776.7469
MEM 1309.210938 1652240776.8472
MEM 1309.460938 1652240776.9476
MEM 1309.710938 1652240777.0480
MEM 1309.710938 1652240777.1484
MEM 1316.628906 1652240777.2488
MEM 1316.628906 1652240777.3492
MEM 1316.628906 1652240777.4496
MEM 1316.878906 1652240777.5500
MEM 1317.128906 1652240777.6505
MEM 1349.910156 1652240777.7509
MEM 1350.675781 1652240777.8512
MEM 1350.707031 1652240777.9516
MEM 1350.957031 1652240778.0520
MEM 1350.957031 1652240778.1524
MEM 1350.957031 1652240778.2528
MEM 1350.957031 1652240778.3533
MEM 1350.957031 1652240778.4537
MEM 1351.210938 1652240778.5540
MEM 1358.285156 1652240778.6545
MEM 1365.093750 1652240778.7550
MEM 1373.789062 1652240778.8554
MEM 1369.109375 1652240778.9559
MEM 1371.156250 1652240779.0563
MEM 1371.156250 1652240779.1567
MEM 1358.480469 1652240779.2571
MEM 1359.128906 1652240779.3575
MEM 1359.128906 1652240779.4579
MEM 1359.128906 1652240779.5584
MEM 1359.128906 1652240779.6588
MEM 1359.128906 1652240779.7592
MEM 1359.109375 1652240779.8596
MEM 1359.109375 1652240779.9600
MEM 1359.109375 1652240780.0604
MEM 1359.109375 1652240780.1607
MEM 1359.109375 1652240780.2611
MEM 1345.597656 1652240780.3616
MEM 1345.597656 1652240780.4620
MEM 1345.597656 1652240780.5623
MEM 1345.597656 1652240780.6628
MEM 1369.796875 1652240780.7633
MEM 1382.683594 1652240780.8637
MEM 1382.683594 1652240780.9641
MEM 1382.683594 1652240781.0645
MEM 1382.683594 1652240781.1649
MEM 1382.683594 1652240781.2654
MEM 1382.683594 1652240781.3658
MEM 1382.683594 1652240781.4662
MEM 1382.683594 1652240781.5667
MEM 1383.195312 1652240781.6671
MEM 1398.867188 1652240781.7675
MEM 1410.097656 1652240781.8680
MEM 1402.988281 1652240781.9684
MEM 1404.503906 1652240782.0688
MEM 1405.089844 1652240782.1692
MEM 1405.089844 1652240782.2696
MEM 1405.089844 1652240782.3700
MEM 1405.089844 1652240782.4704
MEM 1405.089844 1652240782.5708
MEM 1405.066406 1652240782.6712
MEM 1405.066406 1652240782.7716
MEM 1405.066406 1652240782.8734
MEM 1405.066406 1652240782.9738
MEM 1405.066406 1652240783.0742
MEM 1405.066406 1652240783.1746
MEM 1405.066406 1652240783.2750
MEM 1405.066406 1652240783.3754
MEM 1405.066406 1652240783.4758
MEM 1405.066406 1652240783.5762
MEM 1425.144531 1652240783.6766
MEM 1425.144531 1652240783.7771
MEM 1425.144531 1652240783.8775
MEM 1425.144531 1652240783.9779
MEM 1425.144531 1652240784.0783
MEM 1425.144531 1652240784.1787
MEM 1425.144531 1652240784.2791
MEM 1425.144531 1652240784.3796
MEM 1425.656250 1652240784.4800
MEM 1437.199219 1652240784.5804
MEM 1437.929688 1652240784.6809
MEM 1442.492188 1652240784.7813
MEM 1443.492188 1652240784.8818
MEM 1452.476562 1652240784.9822
MEM 1452.464844 1652240785.0826
MEM 1452.464844 1652240785.1834
MEM 1452.464844 1652240785.2838
MEM 1452.464844 1652240785.3842
MEM 1452.464844 1652240785.4846
MEM 1452.449219 1652240785.5850
MEM 1452.449219 1652240785.6854
MEM 1452.449219 1652240785.7858
MEM 1452.449219 1652240785.8862
MEM 1452.449219 1652240785.9866
MEM 1452.449219 1652240786.0871
MEM 1452.449219 1652240786.1875
MEM 1452.449219 1652240786.2879
MEM 1452.449219 1652240786.3884
MEM 1466.093750 1652240786.4888
MEM 1475.375000 1652240786.5892
MEM 1475.375000 1652240786.6896
MEM 1475.375000 1652240786.7899
MEM 1475.375000 1652240786.8902
MEM 1475.375000 1652240786.9905
MEM 1475.375000 1652240787.0908
MEM 1475.375000 1652240787.1911
MEM 1475.886719 1652240787.2914
MEM 1475.648438 1652240787.3917
MEM 1476.902344 1652240787.4921
MEM 1464.804688 1652240787.5926
MEM 1476.300781 1652240787.6930
MEM 1482.964844 1652240787.7934
MEM 1471.710938 1652240787.8938
MEM 1471.710938 1652240787.9942
MEM 1471.710938 1652240788.0947
MEM 1471.710938 1652240788.1951
MEM 1471.710938 1652240788.2955
MEM 1471.687500 1652240788.3959
MEM 1471.687500 1652240788.4963
MEM 1471.687500 1652240788.5967
MEM 1471.687500 1652240788.6971
MEM 1471.687500 1652240788.7975
MEM 1471.687500 1652240788.8979
MEM 1471.687500 1652240788.9983
MEM 1471.687500 1652240789.0987
MEM 1471.687500 1652240789.1992
MEM 1485.589844 1652240789.2997
MEM 1485.589844 1652240789.4001
MEM 1485.589844 1652240789.5005
MEM 1485.589844 1652240789.6009
MEM 1485.589844 1652240789.7012
MEM 1485.589844 1652240789.8016
MEM 1485.589844 1652240789.9021
MEM 1485.589844 1652240790.0025
MEM 1486.101562 1652240790.1029
MEM 1485.871094 1652240790.2034
MEM 1486.871094 1652240790.3038
MEM 1488.382812 1652240790.4042
MEM 1488.355469 1652240790.5046
MEM 1494.093750 1652240790.6051
MEM 1494.289062 1652240790.7055
MEM 1494.289062 1652240790.8059
MEM 1494.289062 1652240790.9064
MEM 1494.289062 1652240791.0068
MEM 1494.289062 1652240791.1072
MEM 1494.289062 1652240791.2076
MEM 1494.289062 1652240791.3079
MEM 1494.289062 1652240791.4083
MEM 1494.289062 1652240791.5087
MEM 1494.289062 1652240791.6092
MEM 1494.289062 1652240791.7095
MEM 1494.281250 1652240791.8099
MEM 1494.281250 1652240791.9103
MEM 1494.281250 1652240792.0107
MEM 1494.281250 1652240792.1111
MEM 1494.281250 1652240792.2116
MEM 1494.281250 1652240792.3120
MEM 1494.257812 1652240792.4124
MEM 1494.257812 1652240792.5128
MEM 1494.257812 1652240792.6133
MEM 1494.257812 1652240792.7137
MEM 1494.257812 1652240792.8142
MEM 1494.257812 1652240792.9146
MEM 1494.257812 1652240793.0150
MEM 1494.257812 1652240793.1154
MEM 1494.257812 1652240793.2158
MEM 1494.257812 1652240793.3163
MEM 1506.355469 1652240793.4167
MEM 1511.511719 1652240793.5171
MEM 1511.511719 1652240793.6175
MEM 1511.511719 1652240793.7179
MEM 1511.511719 1652240793.8186
MEM 1511.511719 1652240793.9190
MEM 1511.511719 1652240794.0194
MEM 1511.511719 1652240794.1198
MEM 1511.511719 1652240794.2201
MEM 1512.023438 1652240794.3204
MEM 1511.769531 1652240794.4208
MEM 1519.203125 1652240794.5212
MEM 1524.574219 1652240794.6215
MEM 1524.546875 1652240794.7219
MEM 1524.687500 1652240794.8223
MEM 1524.687500 1652240794.9226
MEM 1524.687500 1652240795.0229
MEM 1524.687500 1652240795.1232
MEM 1524.687500 1652240795.2235
MEM 1524.667969 1652240795.3239
MEM 1524.667969 1652240795.4243
MEM 1524.667969 1652240795.5248
MEM 1524.667969 1652240795.6252
MEM 1524.667969 1652240795.7256
MEM 1524.667969 1652240795.8260
MEM 1524.667969 1652240795.9265
MEM 1524.667969 1652240796.0269
MEM 1524.667969 1652240796.1272
MEM 1524.667969 1652240796.2276
MEM 1540.121094 1652240796.3281
MEM 1540.121094 1652240796.4285
MEM 1540.121094 1652240796.5290
MEM 1540.121094 1652240796.6294
MEM 1540.121094 1652240796.7299
MEM 1540.121094 1652240796.8303
MEM 1540.121094 1652240796.9307
MEM 1540.121094 1652240797.0311
MEM 1540.632812 1652240797.1315
MEM 1540.632812 1652240797.2319
MEM 1549.640625 1652240797.3323
MEM 1554.492188 1652240797.4327
MEM 1554.992188 1652240797.5332
MEM 1554.964844 1652240797.6336
MEM 1523.253906 1652240797.7341
MEM 1523.253906 1652240797.8345
MEM 1523.253906 1652240797.9350
MEM 1523.253906 1652240798.0354
MEM 1523.253906 1652240798.1358
MEM 1523.234375 1652240798.2362
MEM 1523.234375 1652240798.3366
MEM 1523.234375 1652240798.4371
MEM 1523.234375 1652240798.5375
MEM 1523.234375 1652240798.6379
MEM 1523.234375 1652240798.7383
MEM 1523.234375 1652240798.8388
MEM 1523.234375 1652240798.9392
MEM 1523.234375 1652240799.0397
MEM 1523.234375 1652240799.1401
MEM 1523.234375 1652240799.2406
MEM 1528.898438 1652240799.3410
MEM 1546.941406 1652240799.4414
MEM 1546.941406 1652240799.5418
MEM 1546.941406 1652240799.6422
MEM 1546.941406 1652240799.7427
MEM 1546.941406 1652240799.8432
MEM 1546.941406 1652240799.9436
MEM 1546.941406 1652240800.0440
MEM 1547.453125 1652240800.1445
MEM 1547.453125 1652240800.2449
MEM 1547.199219 1652240800.3453
MEM 1551.476562 1652240800.4457
MEM 1521.515625 1652240800.5461
MEM 1532.539062 1652240800.6473
MEM 1532.875000 1652240800.7477
MEM 1532.875000 1652240800.8480
MEM 1532.875000 1652240800.9484
MEM 1532.875000 1652240801.0489
MEM 1532.875000 1652240801.1493
MEM 1516.851562 1652240801.2497
MEM 1516.851562 1652240801.3501
MEM 1516.851562 1652240801.4505
MEM 1516.851562 1652240801.5510
MEM 1516.851562 1652240801.6514
MEM 1516.851562 1652240801.7518
MEM 1516.851562 1652240801.8523
MEM 1516.851562 1652240801.9526
MEM 1516.851562 1652240802.0529
MEM 1516.851562 1652240802.1533
MEM 1524.050781 1652240802.2537
