CMDLINE /usr/bin/python3 scripts/tSNE-SVM-Rhizo.py
MEM 202.183594 1652242067.7300
MEM 202.183594 1652242067.8303
MEM 202.183594 1652242067.9320
MEM 202.183594 1652242068.0323
MEM 202.183594 1652242068.1326
MEM 202.183594 1652242068.2329
MEM 202.183594 1652242068.3333
MEM 202.183594 1652242068.4336
MEM 202.183594 1652242068.5339
MEM 202.183594 1652242068.6343
MEM 202.183594 1652242068.7345
MEM 202.183594 1652242068.8348
MEM 202.183594 1652242068.9351
MEM 202.183594 1652242069.0359
MEM 202.183594 1652242069.1362
MEM 202.183594 1652242069.2366
MEM 202.183594 1652242069.3381
MEM 202.183594 1652242069.4384
MEM 202.183594 1652242069.5387
MEM 202.183594 1652242069.6390
MEM 202.183594 1652242069.7393
MEM 202.183594 1652242069.8396
MEM 202.183594 1652242069.9414
MEM 202.183594 1652242070.0419
MEM 202.183594 1652242070.1428
MEM 202.183594 1652242070.2431
MEM 202.183594 1652242070.3435
MEM 202.183594 1652242070.4458
MEM 202.183594 1652242070.5461
MEM 202.183594 1652242070.6464
MEM 202.183594 1652242070.7467
MEM 202.183594 1652242070.8488
MEM 202.183594 1652242070.9491
MEM 202.183594 1652242071.0495
MEM 202.183594 1652242071.1498
MEM 202.183594 1652242071.2501
MEM 202.183594 1652242071.3504
MEM 202.183594 1652242071.4507
MEM 202.183594 1652242071.5511
MEM 202.183594 1652242071.6514
MEM 202.183594 1652242071.7517
MEM 202.183594 1652242071.8520
MEM 202.183594 1652242071.9523
MEM 202.183594 1652242072.0526
MEM 202.183594 1652242072.1529
MEM 202.183594 1652242072.2532
MEM 202.183594 1652242072.3535
MEM 202.183594 1652242072.4539
MEM 202.183594 1652242072.5541
MEM 202.183594 1652242072.6544
MEM 202.183594 1652242072.7548
MEM 202.183594 1652242072.8551
MEM 202.183594 1652242072.9555
MEM 202.183594 1652242073.0558
MEM 202.183594 1652242073.1561
MEM 202.183594 1652242073.2565
MEM 202.183594 1652242073.3568
MEM 202.183594 1652242073.4571
MEM 202.183594 1652242073.5574
MEM 202.183594 1652242073.6600
MEM 202.183594 1652242073.7604
MEM 202.183594 1652242073.8607
MEM 202.183594 1652242073.9610
MEM 202.183594 1652242074.0613
MEM 202.183594 1652242074.1616
MEM 202.183594 1652242074.2618
MEM 202.183594 1652242074.3621
MEM 202.183594 1652242074.4624
MEM 202.183594 1652242074.5626
MEM 202.183594 1652242074.6629
MEM 202.183594 1652242074.7630
MEM 202.183594 1652242074.8633
MEM 202.183594 1652242074.9635
MEM 202.183594 1652242075.0638
MEM 202.183594 1652242075.1640
MEM 202.183594 1652242075.2642
MEM 202.183594 1652242075.3645
MEM 202.183594 1652242075.4647
MEM 202.183594 1652242075.5649
MEM 202.183594 1652242075.6653
MEM 202.183594 1652242075.7655
MEM 202.183594 1652242075.8658
MEM 202.183594 1652242075.9661
MEM 202.183594 1652242076.0663
MEM 202.183594 1652242076.1666
MEM 202.183594 1652242076.2668
MEM 202.183594 1652242076.3671
MEM 202.183594 1652242076.4673
MEM 202.183594 1652242076.5676
MEM 202.183594 1652242076.6679
MEM 202.183594 1652242076.7682
MEM 202.183594 1652242076.8703
MEM 202.183594 1652242076.9706
MEM 202.183594 1652242077.0709
MEM 202.183594 1652242077.1712
MEM 202.183594 1652242077.2733
MEM 202.183594 1652242077.3736
MEM 202.183594 1652242077.4738
MEM 202.183594 1652242077.5741
MEM 202.183594 1652242077.6744
MEM 202.183594 1652242077.7748
MEM 202.183594 1652242077.8751
MEM 202.183594 1652242077.9753
MEM 202.183594 1652242078.0756
MEM 202.183594 1652242078.1759
MEM 202.183594 1652242078.2761
MEM 202.183594 1652242078.3764
MEM 202.183594 1652242078.4768
MEM 202.183594 1652242078.5771
MEM 202.183594 1652242078.6775
MEM 202.183594 1652242078.7778
MEM 202.183594 1652242078.8781
MEM 202.183594 1652242078.9784
MEM 202.183594 1652242079.0787
MEM 202.183594 1652242079.1790
MEM 202.183594 1652242079.2793
MEM 202.183594 1652242079.3796
MEM 202.183594 1652242079.4800
MEM 202.183594 1652242079.5803
MEM 202.183594 1652242079.6806
MEM 202.183594 1652242079.7809
MEM 202.183594 1652242079.8825
MEM 202.183594 1652242079.9829
MEM 202.183594 1652242080.0852
MEM 202.183594 1652242080.1855
MEM 202.183594 1652242080.2858
MEM 202.183594 1652242080.3861
MEM 202.183594 1652242080.4864
MEM 202.183594 1652242080.5867
MEM 202.183594 1652242080.6871
MEM 202.183594 1652242080.7874
MEM 202.183594 1652242080.8877
MEM 202.183594 1652242080.9903
MEM 202.183594 1652242081.0921
MEM 202.183594 1652242081.1933
MEM 202.183594 1652242081.2937
MEM 202.183594 1652242081.3940
MEM 202.183594 1652242081.4943
MEM 202.183594 1652242081.5946
MEM 202.183594 1652242081.6949
MEM 202.183594 1652242081.7951
MEM 202.183594 1652242081.8954
MEM 202.183594 1652242081.9958
MEM 202.183594 1652242082.0961
MEM 202.183594 1652242082.1964
MEM 202.183594 1652242082.2967
MEM 202.183594 1652242082.3970
MEM 202.183594 1652242082.4973
MEM 202.183594 1652242082.5976
MEM 202.183594 1652242082.6979
MEM 202.183594 1652242082.7982
MEM 202.183594 1652242082.8985
MEM 202.183594 1652242082.9988
MEM 202.183594 1652242083.0991
MEM 202.183594 1652242083.1995
MEM 202.183594 1652242083.3029
MEM 202.183594 1652242083.4031
MEM 202.183594 1652242083.5034
MEM 202.183594 1652242083.6037
MEM 202.183594 1652242083.7040
MEM 202.183594 1652242083.8043
MEM 202.183594 1652242083.9046
MEM 202.183594 1652242084.0049
MEM 202.183594 1652242084.1052
MEM 202.183594 1652242084.2055
MEM 202.183594 1652242084.3058
MEM 202.183594 1652242084.4061
MEM 202.183594 1652242084.5064
MEM 202.183594 1652242084.6067
MEM 202.183594 1652242084.7070
MEM 202.183594 1652242084.8073
MEM 202.183594 1652242084.9100
MEM 202.183594 1652242085.0103
MEM 202.183594 1652242085.1106
MEM 202.183594 1652242085.2109
MEM 202.183594 1652242085.3111
MEM 202.183594 1652242085.4114
MEM 202.183594 1652242085.5117
MEM 202.183594 1652242085.6120
MEM 202.183594 1652242085.7123
MEM 202.183594 1652242085.8126
MEM 202.183594 1652242085.9130
MEM 202.183594 1652242086.0133
MEM 202.183594 1652242086.1136
MEM 202.183594 1652242086.2151
MEM 202.183594 1652242086.3154
MEM 202.183594 1652242086.4171
MEM 202.183594 1652242086.5174
MEM 202.183594 1652242086.6177
