CMDLINE /usr/bin/python3 scripts/PCA-RF-Rhizo.py
MEM 213.167969 1652242081.3861
MEM 213.167969 1652242081.4864
MEM 213.167969 1652242081.5867
MEM 213.167969 1652242081.6870
MEM 213.167969 1652242081.7872
MEM 213.167969 1652242081.8876
MEM 213.167969 1652242081.9879
MEM 213.167969 1652242082.0882
MEM 213.167969 1652242082.1885
MEM 213.167969 1652242082.2888
MEM 213.167969 1652242082.3892
MEM 213.167969 1652242082.4895
MEM 213.167969 1652242082.5898
MEM 213.167969 1652242082.6902
MEM 213.167969 1652242082.7905
MEM 213.167969 1652242082.8908
MEM 213.167969 1652242082.9911
MEM 213.167969 1652242083.0914
MEM 213.167969 1652242083.1917
MEM 213.167969 1652242083.2921
MEM 213.167969 1652242083.3936
MEM 213.167969 1652242083.4939
MEM 213.167969 1652242083.5942
MEM 213.167969 1652242083.6945
MEM 213.167969 1652242083.7948
MEM 213.167969 1652242083.8951
MEM 213.167969 1652242083.9955
MEM 213.167969 1652242084.0967
MEM 213.167969 1652242084.1970
MEM 213.167969 1652242084.2974
MEM 213.167969 1652242084.3977
MEM 213.167969 1652242084.4980
MEM 213.167969 1652242084.5983
MEM 213.167969 1652242084.6985
MEM 213.167969 1652242084.7999
MEM 213.167969 1652242084.9003
MEM 213.167969 1652242085.0006
MEM 213.167969 1652242085.1019
MEM 213.167969 1652242085.2022
MEM 213.167969 1652242085.3025
MEM 213.167969 1652242085.4028
MEM 213.167969 1652242085.5031
MEM 213.167969 1652242085.6035
MEM 213.167969 1652242085.7038
MEM 213.167969 1652242085.8041
MEM 213.167969 1652242085.9045
MEM 213.167969 1652242086.0048
MEM 213.167969 1652242086.1050
MEM 213.167969 1652242086.2054
MEM 213.167969 1652242086.3069
MEM 213.167969 1652242086.4071
MEM 213.167969 1652242086.5074
MEM 213.167969 1652242086.6077
MEM 213.167969 1652242086.7080
MEM 213.167969 1652242086.8083
MEM 213.167969 1652242086.9086
MEM 213.167969 1652242087.0090
MEM 213.167969 1652242087.1093
MEM 213.167969 1652242087.2096
MEM 213.167969 1652242087.3100
MEM 213.167969 1652242087.4103
MEM 213.167969 1652242087.5107
MEM 213.167969 1652242087.6110
MEM 213.167969 1652242087.7114
MEM 213.167969 1652242087.8117
MEM 213.167969 1652242087.9120
MEM 213.167969 1652242088.0123
MEM 213.167969 1652242088.1126
MEM 213.167969 1652242088.2129
MEM 213.167969 1652242088.3133
MEM 213.167969 1652242088.4136
MEM 213.167969 1652242088.5139
